team_name,Season,matches_played,tackle-points
Jaipur Pink Panthers,1,16,170
Bengaluru Bulls,1,16,163
U Mumba,1,16,157
Patna Pirates,1,16,142
Dabang Delhi K.C.,1,14,134
Bengal Warriors,1,14,122
Puneri Paltan,1,14,107
Telugu Titans,1,14,104
