player_name,season,matches_played,team,total-points
Anup Kumar,1,16,u-mumba,169
Rahul Chaudhari,1,14,telugu-titans,161
Maninder Singh,1,16,jaipur-pink-panthers,137
Ajay Thakur,1,15,bengaluru-bulls,127
Kashiling Adake,1,14,dabang-delhi-kc,122
Manjeet Chhillar,1,16,bengaluru-bulls,122
Surjeet Narwal,1,14,dabang-delhi-kc,120
Sandeep Narwal,1,16,patna-pirates,119
Jasvir Singh,1,15,jaipur-pink-panthers,113
Wazir Singh,1,12,puneri-paltan,111
Ravi Dalal,1,16,patna-pirates,111
Nitin Madane,1,12,bengal-warriors,107
Rakesh Kumar,1,12,patna-pirates,99
Rajesh Narwal,1,16,jaipur-pink-panthers,98
Deepak Niwas Hooda,1,14,telugu-titans,89
Sukesh Hegde,1,14,telugu-titans,83
Rishank Devadiga,1,16,u-mumba,77
Shabeer Bappu,1,10,u-mumba,67
Surender Nada,1,15,u-mumba,61
Mahesh Goud,1,13,bengal-warriors,59
Jang Kun Lee,1,11,bengal-warriors,57
Jitesh Joshi,1,14,puneri-paltan,53
Dharmaraj Cheralathan,1,16,bengaluru-bulls,52
Sunil Jaipal,1,13,bengal-warriors,50
Shrikant Tewthia,1,14,dabang-delhi-kc,50
Jasmer Singh Gulia,1,14,dabang-delhi-kc,45
Rajesh Mondal,1,15,bengaluru-bulls,44
Pawan Kumar Kadian,1,10,u-mumba,44
Manoj Kumar,1,14,puneri-paltan,42
Rohit Rana,1,15,jaipur-pink-panthers,38
Mohit Chhillar,1,16,u-mumba,36
Parmod Narwal,1,16,bengaluru-bulls,36
Ran Singh,1,10,jaipur-pink-panthers,36
Nilesh Shinde,1,14,bengal-warriors,35
Prashant Chavan,1,15,jaipur-pink-panthers,33
Kalimuthu Balamahendran,1,14,puneri-paltan,32
Mahipal Narwal,1,5,puneri-paltan,31
Amit Singh Chhillar,1,14,dabang-delhi-kc,30
Ravinder Pahal,1,9,dabang-delhi-kc,29
D. Suresh Kumar,1,12,patna-pirates,28
Mangesh Bhagat,1,8,puneri-paltan,28
Shyam Kumar Sah,1,13,bengal-warriors,28
Sachin Khambe,1,14,bengal-warriors,27
Wasim Sajjad,1,15,patna-pirates,27
Gurpreet Singh,1,16,bengaluru-bulls,27
D. Gopu,1,15,telugu-titans,27
Girish Maruti Ernak,1,12,patna-pirates,25
Mahendra Ganesh Rajput,1,8,bengal-warriors,21
Deepak Kumar Dahiya,1,7,bengaluru-bulls,21
Pravin Niwale,1,7,puneri-paltan,21
Vishal Mane,1,16,u-mumba,20
Sachin Shingade,1,10,telugu-titans,20
Vijendar Singh,1,8,telugu-titans,20
Rajaguru Subramanian,1,14,telugu-titans,19
Ram Kumar Sah,1,9,patna-pirates,18
Navneet Gautam,1,14,jaipur-pink-panthers,17
Gangadhari Mallesh,1,10,jaipur-pink-panthers,16
Jeeva Kumar,1,9,u-mumba,16
Waleed Al Hasani,1,6,puneri-paltan,14
Gurvinder Singh,1,7,patna-pirates,13
Nitin More,1,9,puneri-paltan,12
Preetam Chhillar,1,11,bengaluru-bulls,12
Samarjeet Singh,1,12,jaipur-pink-panthers,12
Bajirao Hodage,1,6,bengal-warriors,11
Sagar Khatale,1,8,puneri-paltan,10
Balbir Singh,1,8,jaipur-pink-panthers,9
Simon Kibura,1,4,puneri-paltan,8
Swapnil Dilip Shinde,1,8,puneri-paltan,8
Suresu Kumar,1,3,u-mumba,6
Ehsan Zamani Fard,1,8,dabang-delhi-kc,6
Chandran Ranjit,1,6,telugu-titans,6
Jeeva Gopal,1,11,u-mumba,6
Wajid Ali,1,4,telugu-titans,5
Kuldeep Singh,1,3,patna-pirates,5
Dadaso Balaso Awad,1,5,dabang-delhi-kc,5
Sinotharan Kanesharajah,1,1,bengaluru-bulls,5
Seong Ryeol Kim,1,3,bengal-warriors,5
Punit Kumar Teotia,1,4,dabang-delhi-kc,5
Mandeep Kumar,1,7,patna-pirates,5
Rupesh Tomar,1,5,telugu-titans,5
Vikas Tomar,1,8,puneri-paltan,5
Prashanth Kumar Rai,1,7,telugu-titans,5
Rakesh Singh Kumar,1,9,dabang-delhi-kc,4
Gurchet Singh,1,4,bengaluru-bulls,4
Sunil Hanumanthappa,1,5,bengaluru-bulls,4
Tae Deok Eom,1,9,patna-pirates,4
Dovlet Boshimov,1,2,patna-pirates,4
Parveen Kumar,1,8,bengal-warriors,3
Raju Lal Choudhary,1,5,jaipur-pink-panthers,2
Gokul Shitole,1,3,jaipur-pink-panthers,2
Md. Aruduzzaman Munshi,1,5,u-mumba,2
Farhad Kamal Gharibi,1,2,bengal-warriors,2
Takamitsu Kono,1,1,dabang-delhi-kc,2
Dong Ju Hong,1,2,dabang-delhi-kc,1
Atif Waheed,1,3,telugu-titans,1
Sunil Subhash Lande,1,4,puneri-paltan,1
