team_name,Season,matches_played,avg-tackle
Gujarat Fortunegiants,0,69,10.59
U Mumba,0,126,10.45
Puneri Paltan,0,126,10.13
U.P. Yoddha,0,66,9.97
Patna Pirates,0,131,9.95
Telugu Titans,0,122,9.64
Haryana Steelers,0,64,9.61
Jaipur Pink Panthers,0,124,9.51
Bengaluru Bulls,0,125,9.38
Bengal Warriors,0,125,8.94
Dabang Delhi K.C.,0,122,8.91
Tamil Thalaivas,0,64,8.77
