team_name,Season,matches_played,raid-points
Patna Pirates,3,16,324
Telugu Titans,3,14,254
U Mumba,3,16,253
Puneri Paltan,3,16,251
Bengal Warriors,3,16,250
Dabang Delhi K.C.,3,14,233
Bengaluru Bulls,3,14,209
Jaipur Pink Panthers,3,14,193
