team_name,Season,matches_played,avg-points
U Mumba,6,23,32.52
Bengaluru Bulls,6,24,32.37
Patna Pirates,6,22,31.68
Gujarat Fortunegiants,6,25,30.16
Dabang Delhi K.C.,6,24,29.12
Jaipur Pink Panthers,6,22,29.09
Haryana Steelers,6,22,29.09
U.P. Yoddha,6,25,28.56
Bengal Warriors,6,23,27.65
Tamil Thalaivas,6,22,27.63
Telugu Titans,6,22,26.63
Puneri Paltan,6,22,25.68
