team_name,Season,matches_played,raid-points
Patna Pirates,5,26,637
U.P. Yoddha,5,23,461
Bengal Warriors,5,24,455
U Mumba,5,22,419
Tamil Thalaivas,5,22,410
Gujarat Fortunegiants,5,24,405
Haryana Steelers,5,23,404
Telugu Titans,5,22,400
Bengaluru Bulls,5,22,393
Puneri Paltan,5,24,379
Jaipur Pink Panthers,5,22,353
Dabang Delhi K.C.,5,22,344
