team_name,Season,matches_played,all-outs
Dabang Delhi K.C.,0,122,168
Puneri Paltan,0,126,162
Bengaluru Bulls,0,125,146
Patna Pirates,0,131,145
Jaipur Pink Panthers,0,124,145
Bengal Warriors,0,125,144
U Mumba,0,126,139
Telugu Titans,0,122,132
Tamil Thalaivas,0,64,88
U.P. Yoddha,0,66,84
Haryana Steelers,0,64,77
Gujarat Fortunegiants,0,69,59
