player_name,season,matches_played,team,avg-tackle
Nitesh Kumar,1,25,up-yoddha,4
Fazel Atrachali,1,23,u-mumba,3.61
Vishal Bhardwaj,1,17,telugu-titans,3.53
Parvesh Bhainswal,1,25,gujarat-fortunegiants,3.44
Manjeet Chhillar,1,19,tamil-thalaivas,3.11
Sandeep Kumar Dhull,1,22,jaipur-pink-panthers,3.05
Sunil Kumar,1,25,gujarat-fortunegiants,3.04
Surender Singh,1,22,u-mumba,2.82
Girish Maruti Ernak,1,20,puneri-paltan,2.8
Amit Hooda,1,18,tamil-thalaivas,2.72
Ravinder Pahal,1,22,dabang-delhi-kc,2.68
Abozar Mohajermighani,1,21,telugu-titans,2.67
Jaideep,1,22,patna-pirates,2.64
Mahender Singh,1,24,bengaluru-bulls,2.63
Amit Sheoran,1,15,bengaluru-bulls,2.53
PO Surjeet Singh,1,23,bengal-warriors,2.35
Joginder Singh Narwal,1,22,dabang-delhi-kc,2.32
Sandeep Narwal,1,18,puneri-paltan,2.28
Kuldeep Singh,1,22,haryana-steelers,2.23
Mohit Chhillar,1,14,jaipur-pink-panthers,2.21
Jeeva Kumar,1,19,up-yoddha,2.11
Sunil Siddhgavali,1,16,jaipur-pink-panthers,2.06
Ruturaj Shivaji Koravi,1,23,gujarat-fortunegiants,2.04
Anil Kumar,1,4,tamil-thalaivas,2
Rohit Rana,1,19,u-mumba,2
Ran Singh,1,22,bengal-warriors,1.91
Sunil,1,22,haryana-steelers,1.86
Krushna Madane,1,6,telugu-titans,1.83
Ravi Kumar,1,22,puneri-paltan,1.82
Dharmaraj Cheralathan,1,22,u-mumba,1.82
Vikas Kale,1,22,patna-pirates,1.77
Vishal Mane,1,22,dabang-delhi-kc,1.73
Sachin Kumar,1,25,up-yoddha,1.72
Vinod Kumar,1,17,u-mumba,1.71
Narender,1,25,up-yoddha,1.68
Ashish Kumar,1,24,bengaluru-bulls,1.67
Anil Kumar,1,18,telugu-titans,1.61
Sandeep,1,10,bengaluru-bulls,1.6
Amit Kumar,1,2,bengal-warriors,1.5
Vishal,1,6,dabang-delhi-kc,1.5
Baldev Singh,1,18,bengal-warriors,1.5
Kuldeep Singh,1,7,patna-pirates,1.43
Mohsen Maghsoudloujafari,1,19,telugu-titans,1.42
Ponparthiban Subramanian,1,12,tamil-thalaivas,1.42
Anil Kumar,1,5,dabang-delhi-kc,1.4
D. Gopu,1,5,tamil-thalaivas,1.4
Jawahar Dagar,1,15,patna-pirates,1.33
Rinku Narwal,1,15,puneri-paltan,1.33
Parveen,1,19,haryana-steelers,1.32
Sachin Shingade,1,19,haryana-steelers,1.32
Shrikant Tewthia,1,8,bengal-warriors,1.25
Rajaguru Subramanian,1,8,u-mumba,1.25
Raju Lal Choudhary,1,16,bengaluru-bulls,1.25
Amit Kumar,1,17,jaipur-pink-panthers,1.24
Shubham Shinde,1,10,puneri-paltan,1.2
Adarsh T,1,10,bengal-warriors,1.2
Sunil,1,11,tamil-thalaivas,1.18
Satpal,1,12,dabang-delhi-kc,1.17
Young Chang Ko,1,13,jaipur-pink-panthers,1.15
Farhad Rahimi Milaghardan,1,22,telugu-titans,1.14
Sachin Vittala,1,22,gujarat-fortunegiants,1.14
Vikas Jaglan,1,14,patna-pirates,1.14
Ravinder Kumar,1,8,patna-pirates,1.13
Mayur Shivtarkar,1,18,haryana-steelers,1.06
Santhapanaselvam,1,14,jaipur-pink-panthers,1
D. Pradap,1,13,tamil-thalaivas,1
Vikram Kandola,1,1,gujarat-fortunegiants,1
Anup Kumar,1,13,jaipur-pink-panthers,0.92
Hadi Oshtorak,1,13,gujarat-fortunegiants,0.92
Sagar B Krishna,1,20,up-yoddha,0.9
Manish,1,17,patna-pirates,0.88
Monu,1,14,puneri-paltan,0.86
Viraj Vishnu Landge,1,7,dabang-delhi-kc,0.86
Kashiling Adake,1,20,bengaluru-bulls,0.85
Yogesh Hooda,1,6,dabang-delhi-kc,0.83
Parvesh,1,6,puneri-paltan,0.83
Rajesh Narwal,1,16,dabang-delhi-kc,0.81
Mahesh Goud,1,10,bengal-warriors,0.8
Rohit Baliyan,1,19,u-mumba,0.74
Akshay Jadhav,1,18,puneri-paltan,0.72
Anuj Kumar,1,7,telugu-titans,0.71
Manjeet,1,22,patna-pirates,0.68
Darshan J.,1,9,tamil-thalaivas,0.67
Amit Nagar,1,9,bengal-warriors,0.67
Ziaur Rahman,1,18,bengal-warriors,0.67
Naveen,1,21,haryana-steelers,0.67
Nitin Rawal,1,9,jaipur-pink-panthers,0.67
Jasmer Singh Gulia,1,6,bengaluru-bulls,0.67
Vijin Thangadurai,1,16,bengal-warriors,0.63
Vijay,1,21,patna-pirates,0.62
Sachin Tanwar,1,23,gujarat-fortunegiants,0.61
Sandeep,1,5,puneri-paltan,0.6
Ajay,1,7,bengaluru-bulls,0.57
More GB,1,22,puneri-paltan,0.55
Deepak Niwas Hooda,1,22,jaipur-pink-panthers,0.55
C. Arun,1,16,tamil-thalaivas,0.5
Manoj Dhull,1,8,bengal-warriors,0.5
Ankit,1,6,bengaluru-bulls,0.5
Sumit Singh,1,8,bengaluru-bulls,0.5
Pawan Kumar Sehrawat,1,24,bengaluru-bulls,0.46
Amit,1,14,up-yoddha,0.43
Ravindra Ramesh Kumawat,1,12,bengal-warriors,0.42
Abhishek Singh,1,15,u-mumba,0.4
Rohit Kumar,1,24,bengaluru-bulls,0.38
Gangadhari Mallesh,1,6,jaipur-pink-panthers,0.33
Rahul Chaudhari,1,21,telugu-titans,0.33
C Manoj Kumar,1,12,telugu-titans,0.33
Amit Kharb,1,6,gujarat-fortunegiants,0.33
Sudhanshu Tyagi,1,13,haryana-steelers,0.31
Deepak Kumar Dahiya,1,11,puneri-paltan,0.27
Jasvir Singh,1,16,tamil-thalaivas,0.25
Sombir,1,4,telugu-titans,0.25
Kamal Singh,1,8,telugu-titans,0.25
Vijay Kumar,1,4,patna-pirates,0.25
Ajinkya Ashok Pawar,1,17,jaipur-pink-panthers,0.24
Deepak Narwal,1,17,patna-pirates,0.24
Naveen Kumar,1,22,dabang-delhi-kc,0.23
Vikash Kandola,1,22,haryana-steelers,0.23
Nilesh Salunke,1,19,telugu-titans,0.21
Chandran Ranjit,1,24,dabang-delhi-kc,0.21
Shrikant Jadhav,1,25,up-yoddha,0.2
Abolfazl Maghsodloumahali,1,10,u-mumba,0.2
Selvamani K,1,15,jaipur-pink-panthers,0.2
Monu Goyat,1,20,haryana-steelers,0.2
Nitin Tomar,1,11,puneri-paltan,0.18
Sukesh Hegde,1,17,tamil-thalaivas,0.18
Jang Kun Lee,1,18,bengal-warriors,0.17
Rishank Devadiga,1,23,up-yoddha,0.17
Bajirao Hodage,1,6,jaipur-pink-panthers,0.17
Meraj Sheykh,1,19,dabang-delhi-kc,0.16
Rohit Gulia,1,19,gujarat-fortunegiants,0.16
Mahendra Ganesh Rajput,1,13,gujarat-fortunegiants,0.15
Prashanth Kumar Rai,1,21,up-yoddha,0.14
Siddharth Sirish Desai,1,21,u-mumba,0.14
Tae Deok Eom,1,11,patna-pirates,0.09
Ajay Thakur,1,22,tamil-thalaivas,0.05
K. Prapanjan,1,22,gujarat-fortunegiants,0.05
Athul MS,1,19,tamil-thalaivas,0.05
C Kalai Arasan,1,2,gujarat-fortunegiants,0
Vinod Kumar,1,2,puneri-paltan,0
Hadi Tajik,1,5,u-mumba,0
Shabeer Bappu,1,6,dabang-delhi-kc,0
