team_name,Season,matches_played,do-or
Puneri Paltan,0,126,518
Jaipur Pink Panthers,0,124,467
Patna Pirates,0,131,467
Bengaluru Bulls,0,125,456
U Mumba,0,126,455
Dabang Delhi K.C.,0,122,447
Bengal Warriors,0,125,446
Telugu Titans,0,122,434
U.P. Yoddha,0,66,240
Gujarat Fortunegiants,0,69,231
Haryana Steelers,0,64,221
Tamil Thalaivas,0,64,211
