team_name,Season,matches_played,avg-tackle
Patna Pirates,4,16,10.69
Telugu Titans,4,16,10.13
Dabang Delhi K.C.,4,14,9.57
Puneri Paltan,4,16,9.13
Bengal Warriors,4,14,8.93
Bengaluru Bulls,4,14,8.86
U Mumba,4,14,8.64
Jaipur Pink Panthers,4,16,8.44
