team_name,Season,matches_played,do-or
Dabang Delhi K.C.,4,14,84
Jaipur Pink Panthers,4,16,80
Puneri Paltan,4,16,77
Telugu Titans,4,16,76
Patna Pirates,4,16,73
Bengal Warriors,4,14,62
Bengaluru Bulls,4,14,59
U Mumba,4,14,42
