player_name,season,matches_played,team,super-10s
Rahul Chaudhari,1,14,telugu-titans,5
Kashiling Adake,1,14,dabang-delhi-kc,3
Rajesh Narwal,1,14,jaipur-pink-panthers,2
Ajay Thakur,1,13,bengaluru-bulls,2
Mahendra Ganesh Rajput,1,12,bengal-warriors,2
Wazir Singh,1,11,puneri-paltan,2
Prashanth Kumar Rai,1,15,telugu-titans,1
Pradeep Kumar,1,6,u-mumba,1
Sonu Narwal,1,11,jaipur-pink-panthers,1
Rohit Kumar Choudary,1,14,dabang-delhi-kc,1
Meraj Sheykh,1,15,telugu-titans,1
Anup Kumar,1,14,u-mumba,1
Deepak Niwas Hooda,1,15,telugu-titans,1
Gurvinder Singh,1,16,patna-pirates,1
Shabeer Bappu,1,10,u-mumba,1
Jang Kun Lee,1,14,bengal-warriors,1
