team_name,Season,matches_played,total-points
Puneri Paltan,1,14,536
Bengal Warriors,1,14,515
U Mumba,1,16,499
Patna Pirates,1,16,487
Bengaluru Bulls,1,16,479
Telugu Titans,1,14,474
Dabang Delhi K.C.,1,14,471
Jaipur Pink Panthers,1,16,458
