team_name,Season,matches_played,super-raid
Bengal Warriors,7,20,15
Haryana Steelers,7,19,14
Patna Pirates,7,19,13
Telugu Titans,7,18,9
Bengaluru Bulls,7,19,8
Dabang Delhi K.C.,7,20,8
Jaipur Pink Panthers,7,20,7
U Mumba,7,19,7
Puneri Paltan,7,20,6
U.P. Yoddha,7,18,5
Gujarat Fortunegiants,7,20,5
Tamil Thalaivas,7,20,4
