team_name,Season,matches_played,successful-tackles
U Mumba,6,23,274
Gujarat Fortunegiants,6,25,258
U.P. Yoddha,6,25,240
Bengaluru Bulls,6,24,219
Jaipur Pink Panthers,6,22,202
Telugu Titans,6,22,202
Dabang Delhi K.C.,6,24,198
Puneri Paltan,6,22,189
Bengal Warriors,6,23,186
Patna Pirates,6,22,186
Haryana Steelers,6,22,180
Tamil Thalaivas,6,22,174
