team_name,Season,matches_played,successful-tackles
U Mumba,0,126,1216
Patna Pirates,0,131,1176
Puneri Paltan,0,126,1159
Bengaluru Bulls,0,125,1086
Telugu Titans,0,122,1067
Jaipur Pink Panthers,0,124,1055
Bengal Warriors,0,125,1025
Dabang Delhi K.C.,0,122,998
Gujarat Fortunegiants,0,69,687
U.P. Yoddha,0,66,600
Haryana Steelers,0,64,567
Tamil Thalaivas,0,64,518
