team_name,Season,matches_played,avg-raid
Dabang Delhi K.C.,7,20,21.85
Bengal Warriors,7,20,21.3
Bengaluru Bulls,7,19,20.68
Haryana Steelers,7,19,19.84
Patna Pirates,7,19,19.37
Telugu Titans,7,18,18.44
Puneri Paltan,7,20,17.9
Tamil Thalaivas,7,20,17.2
U Mumba,7,19,17.11
Jaipur Pink Panthers,7,20,16.85
U.P. Yoddha,7,18,16.06
Gujarat Fortunegiants,7,20,16
