player_name,season,matches_played,team,super-tackles
Sandeep Narwal,1,120,u-mumba,28
Dharmaraj Cheralathan,1,116,haryana-steelers,25
Mohit Chhillar,1,109,tamil-thalaivas,23
Jeeva Kumar,1,112,bengal-warriors,22
Vishal Bhardwaj,1,59,telugu-titans,21
Kuldeep Singh,1,66,patna-pirates,20
Ravi Kumar,1,92,haryana-steelers,19
Ravinder Pahal,1,109,dabang-delhi-kc,19
Fazel Atrachali,1,98,u-mumba,18
Sandeep Kumar Dhull,1,64,jaipur-pink-panthers,18
Amit Hooda,1,86,jaipur-pink-panthers,18
PO Surjeet Singh,1,92,puneri-paltan,16
Surender Nada,1,71,haryana-steelers,16
Manjeet Chhillar,1,108,tamil-thalaivas,15
C. Arun,1,87,telugu-titans,15
Nitesh Kumar,1,62,up-yoddha,15
Hadi Oshtorak,1,69,patna-pirates,14
Nilesh Shinde,1,69,dabang-delhi-kc,14
Girish Maruti Ernak,1,104,puneri-paltan,14
Ashish Kumar,1,83,bengaluru-bulls,13
Abozar Mohajermighani,1,63,telugu-titans,13
Mahender Singh,1,62,bengaluru-bulls,13
Vishal,1,25,jaipur-pink-panthers,12
Sunil Kumar,1,68,gujarat-fortunegiants,12
D. Suresh Kumar,1,59,u-mumba,12
Ran Singh,1,118,tamil-thalaivas,12
Manoj Kumar,1,52,gujarat-fortunegiants,11
Sachin Shingade,1,75,haryana-steelers,10
Parvesh Bhainswal,1,76,gujarat-fortunegiants,10
Jaideep,1,67,patna-pirates,10
Joginder Singh Narwal,1,80,dabang-delhi-kc,10
Monu,1,52,patna-pirates,10
Vinod Kumar,1,47,gujarat-fortunegiants,9
Sunil Jaipal,1,38,bengaluru-bulls,9
Vishal Mane,1,125,dabang-delhi-kc,9
Shrikant Tewthia,1,71,bengal-warriors,9
Rajesh Narwal,1,92,dabang-delhi-kc,8
Deepak Niwas Hooda,1,123,jaipur-pink-panthers,8
Anup Kumar,1,91,jaipur-pink-panthers,8
Vikas Kale,1,59,haryana-steelers,8
Baldev Singh,1,38,bengal-warriors,8
Manish,1,40,patna-pirates,7
Sunil Siddhgavali,1,42,jaipur-pink-panthers,7
Rinku Narwal,1,48,bengal-warriors,7
Jadhav Balasaheb Shahaji,1,18,puneri-paltan,7
Sunil,1,63,tamil-thalaivas,7
Sagar B Krishna,1,60,puneri-paltan,7
Jasmer Singh Gulia,1,52,bengaluru-bulls,7
Jasvir Singh,1,77,tamil-thalaivas,7
Kashiling Adake,1,92,bengaluru-bulls,7
Shabeer Bappu,1,74,tamil-thalaivas,7
D. Gopu,1,34,tamil-thalaivas,7
Prashant Chavan,1,41,dabang-delhi-kc,6
Sachin Khambe,1,22,puneri-paltan,6
Kalimuthu Balamahendran,1,23,telugu-titans,6
Rakesh Kumar,1,55,telugu-titans,6
Sombir,1,31,dabang-delhi-kc,6
Young Chang Ko,1,37,u-mumba,6
Jawahar Dagar,1,46,patna-pirates,6
Meraj Sheykh,1,95,dabang-delhi-kc,6
Parveen,1,25,haryana-steelers,6
Satpal,1,22,dabang-delhi-kc,6
Nitin Rawal,1,45,jaipur-pink-panthers,6
Amit Sheoran,1,38,bengaluru-bulls,5
Narender,1,28,up-yoddha,5
Kuldeep Singh,1,36,haryana-steelers,5
Surinder Singh,1,63,u-mumba,5
Neeraj Kumar,1,36,patna-pirates,5
Shubham Shinde,1,23,puneri-paltan,5
Saurabh Nandal,1,18,bengaluru-bulls,5
Vijin Thangadurai,1,51,bengal-warriors,5
Sachin Kumar,1,46,up-yoddha,5
Bajirao Hodage,1,61,jaipur-pink-panthers,5
Anil Kumar,1,19,dabang-delhi-kc,5
Anil Kumar,1,54,dabang-delhi-kc,5
Rahul Chaudhari,1,120,tamil-thalaivas,5
Rohit Rana,1,82,u-mumba,5
Somvir Shekhar,1,61,jaipur-pink-panthers,4
Wazir Singh,1,47,haryana-steelers,4
Gangadhari Mallesh,1,36,jaipur-pink-panthers,4
Amit Singh Chhillar,1,35,telugu-titans,4
Farhad Rahimi Milaghardan,1,58,telugu-titans,4
Mohsen Maghsoudloujafari,1,46,up-yoddha,4
Sandeep Kandola,1,16,telugu-titans,4
Vijay,1,59,dabang-delhi-kc,4
Sachin Tanwar,1,63,gujarat-fortunegiants,3
Vijay Kumar,1,21,bengaluru-bulls,3
More GB,1,45,gujarat-fortunegiants,3
Amit,1,32,up-yoddha,3
Ruturaj Shivaji Koravi,1,38,gujarat-fortunegiants,3
Adarsh T,1,19,bengal-warriors,3
Sidharth,1,21,dabang-delhi-kc,3
Santhapanaselvam,1,32,jaipur-pink-panthers,3
Rakesh Gowda,1,9,telugu-titans,3
Monu Goyat,1,69,up-yoddha,3
Sandeep,1,14,bengaluru-bulls,3
Darshan Kadian,1,39,puneri-paltan,3
Pawan Kumar Sehrawat,1,75,bengaluru-bulls,3
Nitin Tomar,1,66,puneri-paltan,3
Akshay Jadhav,1,29,puneri-paltan,3
Jang Kun Lee,1,103,patna-pirates,3
Wasim Sajjad,1,17,telugu-titans,3
Dadaso Balaso Awad,1,12,dabang-delhi-kc,3
Rajaguru Subramanian,1,46,u-mumba,3
Nitin Madane,1,37,u-mumba,3
Kuldeep Singh,1,20,bengaluru-bulls,3
Mahesh Goud,1,65,bengal-warriors,3
Rupesh Tomar,1,15,dabang-delhi-kc,3
Shrikant Jadhav,1,72,up-yoddha,3
Parmod Narwal,1,35,haryana-steelers,3
Prashanth Kumar Rai,1,94,haryana-steelers,3
Rakesh Singh Kumar,1,49,haryana-steelers,3
Samarjeet Singh,1,22,jaipur-pink-panthers,3
Mahendra Ganesh Rajput,1,62,gujarat-fortunegiants,2
Rishank Devadiga,1,117,up-yoddha,2
Sukesh Hegde,1,97,bengal-warriors,2
Surjeet Narwal,1,31,bengal-warriors,2
Shyam Kumar Sah,1,27,bengal-warriors,2
Mahipal Narwal,1,34,gujarat-fortunegiants,2
Jitesh Joshi,1,19,puneri-paltan,2
Jeeva Gopal,1,24,haryana-steelers,2
Chandran Ranjit,1,61,dabang-delhi-kc,2
Sumit Singh,1,32,bengaluru-bulls,2
Rahul Kumar,1,30,bengal-warriors,2
Rohit Kumar,1,89,bengaluru-bulls,2
S Mahalingam,1,11,telugu-titans,2
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,2
Ziaur Rahman,1,34,bengal-warriors,2
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,2
Nilesh Salunke,1,79,jaipur-pink-panthers,2
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,2
Rohit Baliyan,1,68,u-mumba,2
Vineet Sharma,1,41,tamil-thalaivas,2
Umesh Mhatre,1,13,puneri-paltan,2
