team_name,Season,matches_played,avg-points
Puneri Paltan,4,16,27.25
Patna Pirates,4,16,27.18
Telugu Titans,4,16,26.81
Dabang Delhi K.C.,4,14,25.71
Jaipur Pink Panthers,4,16,25.31
U Mumba,4,14,24.85
Bengal Warriors,4,14,23.35
Bengaluru Bulls,4,14,23.21
