team_name,Season,matches_played,do-or
U Mumba,2,16,81
Bengaluru Bulls,2,16,80
Telugu Titans,2,16,66
Dabang Delhi K.C.,2,14,61
Patna Pirates,2,16,60
Bengal Warriors,2,14,59
Puneri Paltan,2,14,56
Jaipur Pink Panthers,2,14,47
