player_name,season,matches_played,team,do-or
Rahul Chaudhari,1,16,telugu-titans,38
Ajay Kumar,1,15,jaipur-pink-panthers,36
Rajesh Mondal,1,15,patna-pirates,34
Deepak Niwas Hooda,1,16,puneri-paltan,34
Selvamani K,1,13,dabang-delhi-kc,27
Ajay Thakur,1,16,puneri-paltan,26
Pardeep Narwal,1,16,patna-pirates,23
Nitin Madane,1,13,bengal-warriors,22
Meraj Sheykh,1,14,dabang-delhi-kc,22
Rishank Devadiga,1,14,u-mumba,19
Nilesh Salunke,1,15,telugu-titans,18
Monu Goyat,1,13,bengal-warriors,18
Jasvir Singh,1,14,jaipur-pink-panthers,17
Kashiling Adake,1,13,dabang-delhi-kc,17
Rajesh Narwal,1,16,jaipur-pink-panthers,15
Rohit Kumar,1,14,bengaluru-bulls,15
Jang Kun Lee,1,11,bengal-warriors,13
Suresu Kumar,1,11,u-mumba,12
Nitin Tomar,1,12,puneri-paltan,11
Abolfazl Maghsodloumahali,1,9,patna-pirates,9
Prashanth Kumar Rai,1,9,dabang-delhi-kc,9
Pawan Kumar Kadian,1,9,bengaluru-bulls,9
K. Prapanjan,1,11,telugu-titans,9
Vinod Kumar,1,9,bengaluru-bulls,8
Ravi Dalal,1,6,bengal-warriors,7
Pawan Kumar Sehrawat,1,10,bengaluru-bulls,6
Tushar Patil,1,8,jaipur-pink-panthers,6
Yogesh Hooda,1,5,bengaluru-bulls,6
Ashish Kumar,1,14,bengaluru-bulls,5
Deepak Kumar Dahiya,1,7,bengaluru-bulls,5
Sukesh Hegde,1,9,telugu-titans,5
CPO Surjeet Singh,1,10,patna-pirates,5
Deepak Narwal,1,6,dabang-delhi-kc,4
Mahipal Narwal,1,14,jaipur-pink-panthers,4
Surender Singh,1,11,u-mumba,4
Athul MS,1,4,telugu-titans,4
Vikash Khandola,1,4,dabang-delhi-kc,3
Anup Kumar,1,14,u-mumba,3
Amit Om Prakash Rathi,1,2,bengaluru-bulls,3
Vinoth Kumar,1,3,telugu-titans,2
Surjeet Narwal,1,5,bengal-warriors,2
Sonu Narwal,1,11,puneri-paltan,2
Gurvinder Singh,1,6,u-mumba,2
Manjeet Chhillar,1,12,puneri-paltan,2
Shabeer Bappu,1,12,jaipur-pink-panthers,2
Sumit Singh,1,5,bengaluru-bulls,2
Nitin Kumar,1,1,u-mumba,1
Anil Kumar,1,9,dabang-delhi-kc,1
Umesh Mhatre,1,2,dabang-delhi-kc,1
Rakesh Kumar,1,14,u-mumba,1
Mahesh Goud,1,7,patna-pirates,1
Joginder Singh Narwal,1,16,puneri-paltan,1
Parmod Narwal,1,8,puneri-paltan,1
Sunny,1,3,patna-pirates,1
