player_name,season,matches_played,team,tackle-points
Manjeet Chhillar,1,108,tamil-thalaivas,339
Ravinder Pahal,1,109,dabang-delhi-kc,320
Sandeep Narwal,1,120,u-mumba,296
Fazel Atrachali,1,98,u-mumba,295
Mohit Chhillar,1,109,tamil-thalaivas,277
PO Surjeet Singh,1,92,puneri-paltan,266
Girish Maruti Ernak,1,104,puneri-paltan,259
Dharmaraj Cheralathan,1,116,haryana-steelers,257
Ran Singh,1,118,tamil-thalaivas,229
Amit Hooda,1,86,jaipur-pink-panthers,229
Jeeva Kumar,1,112,bengal-warriors,227
Surender Nada,1,71,haryana-steelers,222
Sandeep Kumar Dhull,1,64,jaipur-pink-panthers,201
Vishal Bhardwaj,1,59,telugu-titans,198
Nitesh Kumar,1,62,up-yoddha,197
Vishal Mane,1,125,dabang-delhi-kc,194
Parvesh Bhainswal,1,76,gujarat-fortunegiants,185
Sunil Kumar,1,68,gujarat-fortunegiants,179
Jaideep,1,67,patna-pirates,177
Joginder Singh Narwal,1,80,dabang-delhi-kc,170
Mahender Singh,1,62,bengaluru-bulls,166
Surinder Singh,1,63,u-mumba,165
Abozar Mohajermighani,1,63,telugu-titans,160
Ravi Kumar,1,92,haryana-steelers,156
Rohit Rana,1,82,u-mumba,136
Nilesh Shinde,1,69,dabang-delhi-kc,135
Kuldeep Singh,1,66,patna-pirates,123
Sachin Shingade,1,75,haryana-steelers,119
Rajesh Narwal,1,92,dabang-delhi-kc,113
Ashish Kumar,1,83,bengaluru-bulls,111
Jasmer Singh Gulia,1,52,bengaluru-bulls,109
C. Arun,1,87,telugu-titans,107
Sunil,1,63,tamil-thalaivas,105
Hadi Oshtorak,1,69,patna-pirates,104
D. Suresh Kumar,1,59,u-mumba,103
Vikas Kale,1,59,haryana-steelers,98
Bajirao Hodage,1,61,jaipur-pink-panthers,95
Rinku Narwal,1,48,bengal-warriors,94
Deepak Niwas Hooda,1,123,jaipur-pink-panthers,87
Sunil,1,39,haryana-steelers,87
Somvir Shekhar,1,61,jaipur-pink-panthers,86
Baldev Singh,1,38,bengal-warriors,86
Amit Sheoran,1,38,bengaluru-bulls,81
Anil Kumar,1,54,dabang-delhi-kc,81
Shrikant Tewthia,1,71,bengal-warriors,79
Rakesh Kumar,1,55,telugu-titans,74
Farhad Rahimi Milaghardan,1,58,telugu-titans,74
Sagar B Krishna,1,60,puneri-paltan,70
