team_name,Season,matches_played,super-tackles
Patna Pirates,5,26,27
U Mumba,5,22,26
Puneri Paltan,5,24,21
Haryana Steelers,5,23,21
U.P. Yoddha,5,23,19
Tamil Thalaivas,5,22,17
Telugu Titans,5,22,17
Bengaluru Bulls,5,22,17
Dabang Delhi K.C.,5,22,12
Bengal Warriors,5,24,12
Gujarat Fortunegiants,5,24,12
Jaipur Pink Panthers,5,22,10
