player_name,season,matches_played,team,avg-tackle
Surender Nada,1,15,u-mumba,3.4
Ravinder Pahal,1,9,dabang-delhi-kc,3.22
Manjeet Chhillar,1,16,bengaluru-bulls,3.19
Jasmer Singh Gulia,1,14,dabang-delhi-kc,2.71
Rohit Rana,1,15,jaipur-pink-panthers,2.53
Ran Singh,1,10,jaipur-pink-panthers,2.5
Vijendar Singh,1,8,telugu-titans,2.5
Dharmaraj Cheralathan,1,16,bengaluru-bulls,2.44
D. Suresh Kumar,1,12,patna-pirates,2.33
Mohit Chhillar,1,16,u-mumba,2.19
Prashant Chavan,1,15,jaipur-pink-panthers,2.13
Amit Singh Chhillar,1,14,dabang-delhi-kc,2.07
Nilesh Shinde,1,14,bengal-warriors,2
Sachin Shingade,1,10,telugu-titans,2
Girish Maruti Ernak,1,12,patna-pirates,1.92
Bajirao Hodage,1,6,bengal-warriors,1.83
Wasim Sajjad,1,15,patna-pirates,1.8
Jeeva Kumar,1,9,u-mumba,1.78
Sandeep Narwal,1,16,patna-pirates,1.69
Ram Kumar Sah,1,9,patna-pirates,1.67
Kuldeep Singh,1,3,patna-pirates,1.67
Seong Ryeol Kim,1,3,bengal-warriors,1.67
Rajesh Narwal,1,16,jaipur-pink-panthers,1.63
Sachin Khambe,1,14,bengal-warriors,1.57
Gurpreet Singh,1,16,bengaluru-bulls,1.56
D. Gopu,1,15,telugu-titans,1.53
Parmod Narwal,1,16,bengaluru-bulls,1.44
Manoj Kumar,1,14,puneri-paltan,1.43
Kalimuthu Balamahendran,1,14,puneri-paltan,1.43
Mahipal Narwal,1,5,puneri-paltan,1.4
Shyam Kumar Sah,1,13,bengal-warriors,1.38
Rajaguru Subramanian,1,14,telugu-titans,1.36
Nitin More,1,9,puneri-paltan,1.33
Sunil Jaipal,1,13,bengal-warriors,1.31
Vishal Mane,1,16,u-mumba,1.25
Sagar Khatale,1,8,puneri-paltan,1.25
Navneet Gautam,1,14,jaipur-pink-panthers,1.21
Dadaso Balaso Awad,1,5,dabang-delhi-kc,1
Swapnil Dilip Shinde,1,8,puneri-paltan,1
Jitesh Joshi,1,14,puneri-paltan,0.93
Rakesh Kumar,1,12,patna-pirates,0.92
Samarjeet Singh,1,12,jaipur-pink-panthers,0.92
Anup Kumar,1,16,u-mumba,0.88
Rishank Devadiga,1,16,u-mumba,0.81
Rupesh Tomar,1,5,telugu-titans,0.8
Gurchet Singh,1,4,bengaluru-bulls,0.75
Rahul Chaudhari,1,14,telugu-titans,0.71
Gokul Shitole,1,3,jaipur-pink-panthers,0.67
Preetam Chhillar,1,11,bengaluru-bulls,0.64
Shrikant Tewthia,1,14,dabang-delhi-kc,0.64
Kashiling Adake,1,14,dabang-delhi-kc,0.64
Vikas Tomar,1,8,puneri-paltan,0.63
Mahesh Goud,1,13,bengal-warriors,0.62
Wazir Singh,1,12,puneri-paltan,0.58
Gurvinder Singh,1,7,patna-pirates,0.57
Jeeva Gopal,1,11,u-mumba,0.55
Simon Kibura,1,4,puneri-paltan,0.5
Surjeet Narwal,1,14,dabang-delhi-kc,0.5
Punit Kumar Teotia,1,4,dabang-delhi-kc,0.5
Nitin Madane,1,12,bengal-warriors,0.5
Jasvir Singh,1,15,jaipur-pink-panthers,0.47
Maninder Singh,1,16,jaipur-pink-panthers,0.44
Raju Lal Choudhary,1,5,jaipur-pink-panthers,0.4
Parveen Kumar,1,8,bengal-warriors,0.38
Rajesh Mondal,1,15,bengaluru-bulls,0.33
Ajay Thakur,1,15,bengaluru-bulls,0.33
Atif Waheed,1,3,telugu-titans,0.33
Rakesh Singh Kumar,1,9,dabang-delhi-kc,0.33
Gangadhari Mallesh,1,10,jaipur-pink-panthers,0.3
Sukesh Hegde,1,14,telugu-titans,0.29
Deepak Kumar Dahiya,1,7,bengaluru-bulls,0.29
Sunil Subhash Lande,1,4,puneri-paltan,0.25
Wajid Ali,1,4,telugu-titans,0.25
Ehsan Zamani Fard,1,8,dabang-delhi-kc,0.25
Tae Deok Eom,1,9,patna-pirates,0.22
Jang Kun Lee,1,11,bengal-warriors,0.18
Deepak Niwas Hooda,1,14,telugu-titans,0.14
Pravin Niwale,1,7,puneri-paltan,0.14
Mangesh Bhagat,1,8,puneri-paltan,0.13
Pawan Kumar Kadian,1,10,u-mumba,0.1
Shabeer Bappu,1,10,u-mumba,0.1
Somvir Shekhar,1,6,patna-pirates,0
Kiran A,1,4,telugu-titans,0
Ravi Dalal,1,16,patna-pirates,0
Chandran Ranjit,1,6,telugu-titans,0
Mandeep Kumar,1,7,patna-pirates,0
Prashanth Kumar Rai,1,7,telugu-titans,0
Suresu Kumar,1,3,u-mumba,0
