team_name,Season,matches_played,successful-raids
Dabang Delhi K.C.,7,20,361
Bengal Warriors,7,20,340
Bengaluru Bulls,7,19,309
Patna Pirates,7,19,291
Puneri Paltan,7,20,290
Haryana Steelers,7,19,290
Tamil Thalaivas,7,20,275
Telugu Titans,7,18,273
Gujarat Fortunegiants,7,20,265
Jaipur Pink Panthers,7,20,261
U Mumba,7,19,258
U.P. Yoddha,7,18,223
