team_name,Season,matches_played,raid-points
U Mumba,1,16,347
Jaipur Pink Panthers,1,16,344
Telugu Titans,1,14,336
Patna Pirates,1,16,316
Bengaluru Bulls,1,16,291
Dabang Delhi K.C.,1,14,285
Bengal Warriors,1,14,283
Puneri Paltan,1,14,269
