player_name,season,matches_played,team,do-or
Rahul Chaudhari,1,21,telugu-titans,43
Shrikant Jadhav,1,25,up-yoddha,43
Siddharth Sirish Desai,1,21,u-mumba,41
Maninder Singh,1,22,bengal-warriors,34
Ajay Thakur,1,22,tamil-thalaivas,33
Pawan Kumar Sehrawat,1,24,bengaluru-bulls,29
Sachin Tanwar,1,23,gujarat-fortunegiants,28
Naveen Kumar,1,22,dabang-delhi-kc,26
Meraj Sheykh,1,19,dabang-delhi-kc,25
Rohit Kumar,1,24,bengaluru-bulls,24
Nilesh Salunke,1,19,telugu-titans,23
K. Prapanjan,1,22,gujarat-fortunegiants,23
Prashanth Kumar Rai,1,21,up-yoddha,23
Deepak Niwas Hooda,1,22,jaipur-pink-panthers,23
Ajinkya Ashok Pawar,1,17,jaipur-pink-panthers,21
Vikash Kandola,1,22,haryana-steelers,20
Abhishek Singh,1,15,u-mumba,18
Naveen,1,21,haryana-steelers,18
Manjeet,1,22,patna-pirates,17
Pardeep Narwal,1,21,patna-pirates,17
Chandran Ranjit,1,24,dabang-delhi-kc,16
More GB,1,22,puneri-paltan,15
Monu,1,14,puneri-paltan,14
Rohit Gulia,1,19,gujarat-fortunegiants,14
Ravindra Ramesh Kumawat,1,12,bengal-warriors,14
Darshan Kadian,1,14,u-mumba,14
Sukesh Hegde,1,17,tamil-thalaivas,14
Nitin Tomar,1,11,puneri-paltan,13
Kashiling Adake,1,20,bengaluru-bulls,12
Mahesh Goud,1,10,bengal-warriors,11
Deepak Narwal,1,17,patna-pirates,9
Selvamani K,1,15,jaipur-pink-panthers,9
Rishank Devadiga,1,23,up-yoddha,8
Rajesh Mondal,1,11,puneri-paltan,7
Jang Kun Lee,1,18,bengal-warriors,7
Bhupender Singh,1,4,bengal-warriors,6
Ran Singh,1,22,bengal-warriors,6
Rohit Baliyan,1,19,u-mumba,6
Athul MS,1,19,tamil-thalaivas,6
Nitin Rawal,1,9,jaipur-pink-panthers,6
Azad Singh,1,9,up-yoddha,6
Amit Kumar,1,6,puneri-paltan,6
Amit Kumar,1,17,jaipur-pink-panthers,5
Akshay Jadhav,1,18,puneri-paltan,5
Vinod Kumar,1,17,u-mumba,5
Monu Goyat,1,20,haryana-steelers,5
Anand Patil,1,7,jaipur-pink-panthers,5
Abolfazl Maghsodloumahali,1,10,u-mumba,5
Tushar Patil,1,9,patna-pirates,4
Sachin Kumar,1,25,up-yoddha,4
Sandeep Narwal,1,18,puneri-paltan,4
Pawan Kumar Kadian,1,13,dabang-delhi-kc,4
CPO Surjeet Singh,1,9,tamil-thalaivas,4
Ajay Kumar,1,13,gujarat-fortunegiants,4
Amit Nagar,1,9,bengal-warriors,4
D. Pradap,1,13,tamil-thalaivas,4
Mohsen Maghsoudloujafari,1,19,telugu-titans,4
Armaan,1,4,telugu-titans,4
Kamal Singh,1,8,telugu-titans,3
Anand,1,3,tamil-thalaivas,3
Rakshith,1,11,telugu-titans,3
Anand V,1,3,bengaluru-bulls,3
Vijay,1,21,patna-pirates,3
Sumit Singh,1,8,bengaluru-bulls,3
Farhad Rahimi Milaghardan,1,22,telugu-titans,3
Deepak Kumar Dahiya,1,11,puneri-paltan,3
Hadi Oshtorak,1,13,gujarat-fortunegiants,3
Vikas Jaglan,1,14,patna-pirates,2
Jasvir Singh,1,16,tamil-thalaivas,2
Shubham Ashok Palkar,1,4,gujarat-fortunegiants,2
Sunil Siddhgavali,1,16,jaipur-pink-panthers,2
Anand Surendra Tomar,1,5,haryana-steelers,2
Ajit Singh,1,6,jaipur-pink-panthers,2
Sandeep,1,5,puneri-paltan,2
Vijay Kumar,1,4,patna-pirates,2
Mahesh Maruti Magdum,1,4,bengaluru-bulls,2
Mithin Kumar,1,3,bengal-warriors,2
Vimal Raj V,1,5,tamil-thalaivas,1
C Manoj Kumar,1,12,telugu-titans,1
Bhanu Pratap Tomar,1,6,up-yoddha,1
Rajnish,1,4,telugu-titans,1
Md. Masud Karim,1,3,up-yoddha,1
Vishal,1,6,dabang-delhi-kc,1
Rinku Narwal,1,15,puneri-paltan,1
Parvesh,1,6,puneri-paltan,1
Gangadhari Mallesh,1,6,jaipur-pink-panthers,1
Anup Kumar,1,13,jaipur-pink-panthers,1
Yogesh Hooda,1,6,dabang-delhi-kc,1
Amit Kumar,1,2,bengal-warriors,1
