team_name,Season,matches_played,avg-raid
Telugu Titans,2,16,21.5
Jaipur Pink Panthers,2,14,16.57
Puneri Paltan,2,14,15.93
Bengaluru Bulls,2,16,15.75
Dabang Delhi K.C.,2,14,15.5
U Mumba,2,16,14.81
Patna Pirates,2,16,14.25
Bengal Warriors,2,14,13.14
