team_name,Season,matches_played,do-or
Jaipur Pink Panthers,7,20,73
Haryana Steelers,7,19,71
U.P. Yoddha,7,18,71
Patna Pirates,7,19,69
U Mumba,7,19,66
Puneri Paltan,7,20,60
Gujarat Fortunegiants,7,20,59
Tamil Thalaivas,7,20,55
Bengal Warriors,7,20,53
Dabang Delhi K.C.,7,20,50
Telugu Titans,7,18,44
Bengaluru Bulls,7,19,42
