player_name,season,matches_played,team,avg-raid
Pardeep Narwal,1,26,patna-pirates,14.19
Rohit Kumar,1,22,bengaluru-bulls,9.95
Ajay Thakur,1,22,tamil-thalaivas,9.68
Maninder Singh,1,21,bengal-warriors,9.05
Rahul Chaudhari,1,22,telugu-titans,8.36
Nitin Tomar,1,20,up-yoddha,8.35
Rishank Devadiga,1,21,up-yoddha,7.86
Monu Goyat,1,26,patna-pirates,7.35
Deepak Niwas Hooda,1,24,puneri-paltan,7.17
Sachin,1,24,gujarat-fortunegiants,6.63
Vikash Khandola,1,9,haryana-steelers,6.44
Pawan Kumar Kadian,1,21,jaipur-pink-panthers,5.81
Kashiling Adake,1,20,u-mumba,5.7
K. Prapanjan,1,22,tamil-thalaivas,5.59
Anup Kumar,1,21,u-mumba,5.33
Deepak Narwal,1,16,bengal-warriors,5.31
Wazir Singh,1,21,haryana-steelers,5.1
Prashanth Kumar Rai,1,16,haryana-steelers,4.88
Meraj Sheykh,1,20,dabang-delhi-kc,4.8
Abolfazl Maghsodloumahali,1,19,dabang-delhi-kc,4.79
Shrikant Jadhav,1,19,u-mumba,4.78
Deepak Kumar Dahiya,1,16,haryana-steelers,4.75
Nilesh Salunke,1,21,telugu-titans,4.67
Chandran Ranjit,1,11,gujarat-fortunegiants,4.64
Jang Kun Lee,1,21,bengal-warriors,4.24
Sukesh Hegde,1,18,gujarat-fortunegiants,4.17
Jasvir Singh,1,15,jaipur-pink-panthers,4.07
Ajay Kumar,1,22,bengaluru-bulls,4.05
Surender Singh,1,18,up-yoddha,4
Rohit Baliyan,1,17,dabang-delhi-kc,3.82
Tushar Patil,1,17,jaipur-pink-panthers,3.76
Rajesh Mondal,1,24,puneri-paltan,3.75
CPO Surjeet Singh,1,17,haryana-steelers,3.47
Mahendra Ganesh Rajput,1,17,gujarat-fortunegiants,3.35
R. Sriram,1,11,dabang-delhi-kc,3.18
Nitin Rawal,1,21,jaipur-pink-panthers,3.1
Shabeer Bappu,1,12,u-mumba,2.92
Rakesh Narwal,1,6,gujarat-fortunegiants,2.83
Virender Wazir Singh,1,3,bengal-warriors,2.67
Mohsen Maghsoudloujafari,1,16,telugu-titans,2.56
Elangeshwaran R,1,5,telugu-titans,2.4
Darshan Kadian,1,16,u-mumba,2.36
More GB,1,6,puneri-paltan,2.33
Vikas Kumar,1,14,telugu-titans,2.14
Ajit Singh,1,11,jaipur-pink-panthers,2.09
Mohan Raman G,1,4,u-mumba,2
Suresh Kumar,1,11,puneri-paltan,2
Rakshith,1,6,telugu-titans,2
Vinod Kumar,1,19,bengal-warriors,1.94
Gurvinder Singh,1,9,bengaluru-bulls,1.89
Mahesh Goud,1,21,up-yoddha,1.84
Rohit Gulia,1,19,gujarat-fortunegiants,1.84
Anand Patil,1,19,dabang-delhi-kc,1.83
Ashish Chhokar,1,5,haryana-steelers,1.8
Dong Geon Lee,1,17,tamil-thalaivas,1.71
Harish Naik,1,14,bengaluru-bulls,1.71
Bhupender Singh,1,17,bengal-warriors,1.65
Sandeep Narwal,1,21,puneri-paltan,1.65
Vinod Kumar,1,21,patna-pirates,1.62
Vijay,1,19,patna-pirates,1.59
M. Thivakaran,1,9,tamil-thalaivas,1.56
Vinoth Kumar,1,4,telugu-titans,1.5
Selvamani K,1,3,jaipur-pink-panthers,1.33
Kuldeep Singh,1,20,u-mumba,1.23
Sunil Jaipal,1,13,bengaluru-bulls,1.23
Rohit Kumar Choudary,1,11,puneri-paltan,1.18
Ran Singh,1,23,bengal-warriors,1.09
Nitin Madane,1,12,u-mumba,1.08
Ravi Dalal,1,5,dabang-delhi-kc,1
Ashish Kumar,1,20,bengaluru-bulls,1
David Shilisia J Mosambayi,1,2,haryana-steelers,1
Pawan Kumar Sehrawat,1,9,gujarat-fortunegiants,1
Rahul Choudhary,1,5,jaipur-pink-panthers,1
Mayur Shivtarkar,1,5,haryana-steelers,1
Ravindra Ramesh Kumawat,1,2,bengal-warriors,1
Monu,1,19,puneri-paltan,1
Vineet Sharma,1,18,tamil-thalaivas,0.94
Akshay Jadhav,1,10,puneri-paltan,0.9
Shubham Ashok Palkar,1,8,dabang-delhi-kc,0.88
Vikas Jaglan,1,13,patna-pirates,0.83
Bhavani Rajput,1,4,tamil-thalaivas,0.75
Gulveer Singh,1,4,up-yoddha,0.75
Rakesh Kumar,1,10,telugu-titans,0.7
Rajesh Narwal,1,16,up-yoddha,0.69
Suresu Kumar,1,3,dabang-delhi-kc,0.67
D. Pradap,1,16,tamil-thalaivas,0.6
Jawahar Dagar,1,18,patna-pirates,0.6
Farhad Rahimi Milaghardan,1,18,telugu-titans,0.6
Satpal,1,10,dabang-delhi-kc,0.57
Vishal,1,5,dabang-delhi-kc,0.5
Hadi Tajik,1,9,up-yoddha,0.5
Deepak Kumar Rathee,1,6,haryana-steelers,0.5
Nilesh Shinde,1,15,dabang-delhi-kc,0.5
Manjeet Chhillar,1,15,jaipur-pink-panthers,0.5
Girish Maruti Ernak,1,21,puneri-paltan,0.45
Mohit Chhillar,1,20,haryana-steelers,0.43
Santhosh B.S,1,9,up-yoddha,0.43
Ravinder Pahal,1,19,bengaluru-bulls,0.4
Sidharth,1,21,jaipur-pink-panthers,0.36
Preetam Chhillar,1,16,bengaluru-bulls,0.27
Sachin Kumar,1,9,bengaluru-bulls,0.25
Surender Nada,1,21,haryana-steelers,0.25
Umesh Mhatre,1,5,puneri-paltan,0.2
Rinku Narwal,1,13,puneri-paltan,0.2
Abozar Mohajermighani,1,24,gujarat-fortunegiants,0.17
PO Surjeet Singh,1,24,bengal-warriors,0.16
Sagar B Krishna,1,17,up-yoddha,0.14
C. Arun,1,20,tamil-thalaivas,0.13
Sunil Kumar,1,24,gujarat-fortunegiants,0.08
Kamal Kishor Jat,1,7,jaipur-pink-panthers,0
Pankaj,1,13,up-yoddha,0
Vishnu Uthaman,1,3,patna-pirates,0
Amit Hooda,1,22,tamil-thalaivas,0
Fazel Atrachali,1,24,gujarat-fortunegiants,0
Parmod Narwal,1,6,haryana-steelers,0
Rupesh Tomar,1,1,dabang-delhi-kc,0
Dharmaraj Cheralathan,1,18,puneri-paltan,0
