player_name,season,matches_played,team,total-points
Anand Surendra Tomar,1,5,haryana-steelers,9
Ajit Singh,1,6,jaipur-pink-panthers,9
Ravinder Kumar,1,8,patna-pirates,9
Bhanu Pratap Tomar,1,6,up-yoddha,9
Rajnish,1,4,telugu-titans,9
Amit Kumar,1,6,puneri-paltan,8
Anand,1,3,tamil-thalaivas,8
Anil Kumar,1,4,tamil-thalaivas,8
C. Arun,1,16,tamil-thalaivas,8
Yogesh Hooda,1,6,dabang-delhi-kc,8
Shabeer Bappu,1,6,dabang-delhi-kc,7
D. Gopu,1,5,tamil-thalaivas,7
Anil Kumar,1,5,dabang-delhi-kc,7
Lalit Chaudhary,1,3,gujarat-fortunegiants,7
Mahesh Maruti Magdum,1,4,bengaluru-bulls,7
Victor Onyango Obiero,1,3,tamil-thalaivas,6
Anuj Kumar,1,7,telugu-titans,6
Bhuvneshwar Gaur,1,6,haryana-steelers,6
Viraj Vishnu Landge,1,7,dabang-delhi-kc,6
Amit,1,14,up-yoddha,6
Darshan J.,1,9,tamil-thalaivas,6
Prateek,1,6,haryana-steelers,5
Dharmender,1,4,gujarat-fortunegiants,5
Sudhanshu Tyagi,1,13,haryana-steelers,4
Ajay,1,7,bengaluru-bulls,4
Arjun Deshwal,1,3,u-mumba,4
Lokesh Kaushik,1,6,jaipur-pink-panthers,4
Gangadhari Mallesh,1,6,jaipur-pink-panthers,4
Jasmer Singh Gulia,1,6,bengaluru-bulls,4
Manoj Dhull,1,8,bengal-warriors,4
David Shilisia J Mosambayi,1,4,jaipur-pink-panthers,4
Amit Kumar,1,2,bengal-warriors,4
Rohit Kumar Choudary,1,6,up-yoddha,3
Anand V,1,3,bengaluru-bulls,3
Vijay Kumar,1,4,patna-pirates,3
Md. Masud Karim,1,3,up-yoddha,3
Mithin Kumar,1,3,bengal-warriors,3
Ankit,1,6,bengaluru-bulls,3
Vimal Raj V,1,5,tamil-thalaivas,2
Gaurav Kumar,1,3,u-mumba,2
Amit Kharb,1,6,gujarat-fortunegiants,2
Vishav Chaudhary,1,2,up-yoddha,2
N. Shiva Ramakrishna,1,1,jaipur-pink-panthers,2
Shubham Ashok Palkar,1,4,gujarat-fortunegiants,2
Wazir Singh,1,2,haryana-steelers,2
Tae Deok Eom,1,11,patna-pirates,1
Nithesh B R,1,2,bengaluru-bulls,1
Bajirao Hodage,1,6,jaipur-pink-panthers,1
Sombir,1,4,telugu-titans,1
E Subash,1,2,u-mumba,1
Tapas Pal,1,2,dabang-delhi-kc,1
Pankaj,1,1,up-yoddha,1
Arun Kumar HN,1,2,haryana-steelers,1
Vikram Kandola,1,1,gujarat-fortunegiants,1
Aashish Nagar,1,3,up-yoddha,1
