player_name,season,matches_played,team,successful-tackles
Nitesh Kumar,1,25,up-yoddha,92
Parvesh Bhainswal,1,25,gujarat-fortunegiants,82
Fazel Atrachali,1,23,u-mumba,80
Sunil Kumar,1,25,gujarat-fortunegiants,72
Mahender Singh,1,24,bengaluru-bulls,62
Sandeep Kumar Dhull,1,22,jaipur-pink-panthers,62
Surender Singh,1,22,u-mumba,59
Jaideep,1,22,patna-pirates,56
Ravinder Pahal,1,22,dabang-delhi-kc,56
Manjeet Chhillar,1,19,tamil-thalaivas,54
Girish Maruti Ernak,1,20,puneri-paltan,52
PO Surjeet Singh,1,23,bengal-warriors,52
Vishal Bhardwaj,1,17,telugu-titans,51
Abozar Mohajermighani,1,21,telugu-titans,48
Joginder Singh Narwal,1,22,dabang-delhi-kc,47
Amit Hooda,1,18,tamil-thalaivas,45
Kuldeep Singh,1,22,haryana-steelers,45
Ruturaj Shivaji Koravi,1,23,gujarat-fortunegiants,44
Ran Singh,1,22,bengal-warriors,41
Sunil,1,22,haryana-steelers,41
Sachin Kumar,1,25,up-yoddha,39
Ashish Kumar,1,24,bengaluru-bulls,37
Rohit Rana,1,19,u-mumba,37
Dharmaraj Cheralathan,1,22,u-mumba,37
Narender,1,25,up-yoddha,37
Amit Sheoran,1,15,bengaluru-bulls,36
Jeeva Kumar,1,19,up-yoddha,36
Vishal Mane,1,22,dabang-delhi-kc,36
Vikas Kale,1,22,patna-pirates,36
Sandeep Narwal,1,18,puneri-paltan,34
Ravi Kumar,1,22,puneri-paltan,33
Sunil Siddhgavali,1,16,jaipur-pink-panthers,30
Mohit Chhillar,1,14,jaipur-pink-panthers,28
Anil Kumar,1,18,telugu-titans,25
Mohsen Maghsoudloujafari,1,19,telugu-titans,25
Vinod Kumar,1,17,u-mumba,25
Baldev Singh,1,18,bengal-warriors,24
Sachin Vittala,1,22,gujarat-fortunegiants,24
Sachin Shingade,1,19,haryana-steelers,23
Farhad Rahimi Milaghardan,1,22,telugu-titans,21
Raju Lal Choudhary,1,16,bengaluru-bulls,20
Parveen,1,19,haryana-steelers,20
Amit Kumar,1,17,jaipur-pink-panthers,20
Mayur Shivtarkar,1,18,haryana-steelers,19
Rinku Narwal,1,15,puneri-paltan,19
Jawahar Dagar,1,15,patna-pirates,17
Sagar B Krishna,1,20,up-yoddha,17
Vikas Jaglan,1,14,patna-pirates,16
Ponparthiban Subramanian,1,12,tamil-thalaivas,16
Kashiling Adake,1,20,bengaluru-bulls,15
Manjeet,1,22,patna-pirates,14
Manish,1,17,patna-pirates,13
Rajesh Narwal,1,16,dabang-delhi-kc,13
Sandeep,1,10,bengaluru-bulls,13
Rohit Baliyan,1,19,u-mumba,13
Hadi Oshtorak,1,13,gujarat-fortunegiants,12
Sunil,1,11,tamil-thalaivas,12
Anup Kumar,1,13,jaipur-pink-panthers,12
Vijay,1,21,patna-pirates,12
Sachin Tanwar,1,23,gujarat-fortunegiants,12
Akshay Jadhav,1,18,puneri-paltan,12
Ziaur Rahman,1,18,bengal-warriors,12
D. Pradap,1,13,tamil-thalaivas,12
Santhapanaselvam,1,14,jaipur-pink-panthers,12
Naveen,1,21,haryana-steelers,12
Young Chang Ko,1,13,jaipur-pink-panthers,11
Deepak Niwas Hooda,1,22,jaipur-pink-panthers,11
Krushna Madane,1,6,telugu-titans,11
Pawan Kumar Sehrawat,1,24,bengaluru-bulls,11
Rajaguru Subramanian,1,8,u-mumba,10
Shrikant Tewthia,1,8,bengal-warriors,10
More GB,1,22,puneri-paltan,10
Satpal,1,12,dabang-delhi-kc,10
Monu,1,14,puneri-paltan,10
Rohit Kumar,1,24,bengaluru-bulls,9
Shubham Shinde,1,10,puneri-paltan,9
Adarsh T,1,10,bengal-warriors,9
Kuldeep Singh,1,7,patna-pirates,8
Vijin Thangadurai,1,16,bengal-warriors,8
C. Arun,1,16,tamil-thalaivas,8
Mahesh Goud,1,10,bengal-warriors,8
Anil Kumar,1,4,tamil-thalaivas,8
Ravinder Kumar,1,8,patna-pirates,8
Vishal,1,6,dabang-delhi-kc,7
Viraj Vishnu Landge,1,7,dabang-delhi-kc,6
Abhishek Singh,1,15,u-mumba,6
Anil Kumar,1,5,dabang-delhi-kc,6
Amit Nagar,1,9,bengal-warriors,6
Darshan J.,1,9,tamil-thalaivas,6
Rahul Chaudhari,1,21,telugu-titans,6
D. Gopu,1,5,tamil-thalaivas,5
Yogesh Hooda,1,6,dabang-delhi-kc,5
Ravindra Ramesh Kumawat,1,12,bengal-warriors,5
Vikash Kandola,1,22,haryana-steelers,5
Amit,1,14,up-yoddha,5
Nitin Rawal,1,9,jaipur-pink-panthers,5
Parvesh,1,6,puneri-paltan,4
C Manoj Kumar,1,12,telugu-titans,4
Naveen Kumar,1,22,dabang-delhi-kc,4
Sudhanshu Tyagi,1,13,haryana-steelers,4
Anuj Kumar,1,7,telugu-titans,4
Ajay,1,7,bengaluru-bulls,4
Monu Goyat,1,20,haryana-steelers,4
Sumit Singh,1,8,bengaluru-bulls,4
Deepak Narwal,1,17,patna-pirates,4
Nilesh Salunke,1,19,telugu-titans,4
Rishank Devadiga,1,23,up-yoddha,4
Shrikant Jadhav,1,25,up-yoddha,4
Jasmer Singh Gulia,1,6,bengaluru-bulls,4
Jasvir Singh,1,16,tamil-thalaivas,4
Chandran Ranjit,1,24,dabang-delhi-kc,4
Meraj Sheykh,1,19,dabang-delhi-kc,3
Selvamani K,1,15,jaipur-pink-panthers,3
