team_name,Season,matches_played,super-raid
Patna Pirates,5,26,26
U.P. Yoddha,5,23,23
Jaipur Pink Panthers,5,22,13
Puneri Paltan,5,24,12
Haryana Steelers,5,23,12
Bengal Warriors,5,24,11
Gujarat Fortunegiants,5,24,11
U Mumba,5,22,10
Telugu Titans,5,22,10
Dabang Delhi K.C.,5,22,6
Bengaluru Bulls,5,22,5
Tamil Thalaivas,5,22,5
