team_name,Season,matches_played,do-or
Puneri Paltan,5,24,119
Haryana Steelers,5,23,105
Gujarat Fortunegiants,5,24,98
Patna Pirates,5,26,95
Dabang Delhi K.C.,5,22,94
Bengaluru Bulls,5,22,93
Tamil Thalaivas,5,22,89
Telugu Titans,5,22,88
Bengal Warriors,5,24,87
Jaipur Pink Panthers,5,22,83
U.P. Yoddha,5,23,83
U Mumba,5,22,78
