team_name,Season,matches_played,tackle-points
Puneri Paltan,5,24,271
Gujarat Fortunegiants,5,24,254
Patna Pirates,5,26,252
Haryana Steelers,5,23,227
Telugu Titans,5,22,207
U Mumba,5,22,202
Tamil Thalaivas,5,22,201
U.P. Yoddha,5,23,201
Bengaluru Bulls,5,22,200
Bengal Warriors,5,24,193
Jaipur Pink Panthers,5,22,171
Dabang Delhi K.C.,5,22,169
