player_name,season,matches_played,team,avg-raid
Rohit Kumar,1,12,patna-pirates,9.27
Pardeep Narwal,1,16,patna-pirates,7.73
Nitin Tomar,1,10,bengal-warriors,7.7
Kashiling Adake,1,11,dabang-delhi-kc,6.82
Rahul Chaudhari,1,13,telugu-titans,6.69
Rishank Devadiga,1,16,u-mumba,6.63
Jasvir Singh,1,4,jaipur-pink-panthers,6.25
Anup Kumar,1,13,u-mumba,5.85
Deepak Niwas Hooda,1,12,puneri-paltan,5.75
CPO Surjeet Singh,1,12,dabang-delhi-kc,5.67
Jang Kun Lee,1,15,bengal-warriors,5.27
Sonu Narwal,1,11,jaipur-pink-panthers,5
Rohit Baliyan,1,11,telugu-titans,4.91
Selvamani K,1,8,dabang-delhi-kc,4.75
Sukesh Hegde,1,13,telugu-titans,4.69
Rajesh Narwal,1,14,jaipur-pink-panthers,4.21
Deepak Narwal,1,9,patna-pirates,3.88
Amit Om Prakash Rathi,1,8,bengaluru-bulls,3.75
Ajay Thakur,1,14,puneri-paltan,3.71
Deepak Kumar Dahiya,1,10,bengaluru-bulls,3.7
Surender Singh,1,12,puneri-paltan,3.67
Pawan Kumar Sehrawat,1,13,bengaluru-bulls,3.46
Surjeet Narwal,1,12,bengaluru-bulls,3.33
Rajesh Mondal,1,9,patna-pirates,3
Manjeet Chhillar,1,15,puneri-paltan,3
Mahesh Goud,1,13,bengal-warriors,2.54
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,2.5
Mahendra Ganesh Rajput,1,8,bengal-warriors,2.38
Umesh Mhatre,1,6,bengal-warriors,2.33
Vinoth Kumar,1,7,bengaluru-bulls,2.29
Rohit Kumar Choudary,1,7,dabang-delhi-kc,2.29
Rakesh Kumar,1,15,u-mumba,2.2
Shrikant Jadhav,1,5,bengal-warriors,2
Shrikant Tewthia,1,13,bengaluru-bulls,2
Sunil Jaipal,1,2,patna-pirates,2
Vineet Sharma,1,4,bengal-warriors,2
Nilesh Salunke,1,7,puneri-paltan,2
Meraj Sheykh,1,14,telugu-titans,1.93
Manpreet Singh,1,13,patna-pirates,1.85
Tushar Patil,1,13,puneri-paltan,1.83
Anil Kashinath Patil,1,5,jaipur-pink-panthers,1.6
Ran Singh,1,14,jaipur-pink-panthers,1.54
Virender Wazir Singh,1,4,telugu-titans,1.5
Pawan Kumar Kadian,1,5,u-mumba,1.5
Shyam Kumar Sah,1,7,bengal-warriors,1.4
Shabeer Bappu,1,10,u-mumba,1.3
Mohammad Maghshoudulu,1,10,jaipur-pink-panthers,1.3
Mahipal Narwal,1,4,patna-pirates,1.25
Yogesh Hooda,1,6,puneri-paltan,1.2
Prashanth Kumar Rai,1,13,telugu-titans,1
Gnanasekaran M,1,8,dabang-delhi-kc,1
Simon Kibura,1,2,puneri-paltan,1
Bhupender Singh,1,11,u-mumba,1
Ravinder Pahal,1,11,dabang-delhi-kc,0.89
Ashish Kumar,1,13,bengaluru-bulls,0.88
Preetam Chhillar,1,11,bengaluru-bulls,0.83
Gurvinder Singh,1,5,patna-pirates,0.8
Seong Ryeol Kim,1,8,dabang-delhi-kc,0.75
Kuldeep Singh,1,10,jaipur-pink-panthers,0.7
Vinoth Paulyas,1,3,u-mumba,0.67
Sandeep Narwal,1,14,patna-pirates,0.64
Dharmaraj Cheralathan,1,14,telugu-titans,0.6
Deepak Kumar Rathee,1,14,bengaluru-bulls,0.6
K. Prapanjan,1,4,u-mumba,0.5
Surender Nada,1,7,u-mumba,0.5
Pravin Niwale,1,2,dabang-delhi-kc,0.5
Samarjeet Singh,1,5,jaipur-pink-panthers,0.4
Anil Kumar,1,11,dabang-delhi-kc,0.33
PO Surjeet Singh,1,12,puneri-paltan,0.25
C. Arun,1,11,jaipur-pink-panthers,0.25
Nilesh Shinde,1,16,bengal-warriors,0.18
Gangadhari Mallesh,1,10,jaipur-pink-panthers,0.17
Rohit Rana,1,12,jaipur-pink-panthers,0.17
Girish Maruti Ernak,1,11,bengal-warriors,0.11
Rohit Kumar Prajapat,1,3,jaipur-pink-panthers,0
