player_name,season,matches_played,team,successful-raids
Pardeep Narwal,1,26,patna-pirates,271
Rohit Kumar,1,22,bengaluru-bulls,192
Ajay Thakur,1,22,tamil-thalaivas,182
Rahul Chaudhari,1,22,telugu-titans,159
Monu Goyat,1,26,patna-pirates,159
Maninder Singh,1,21,bengal-warriors,154
Nitin Tomar,1,20,up-yoddha,135
Sachin,1,24,gujarat-fortunegiants,132
Deepak Niwas Hooda,1,24,puneri-paltan,127
Rishank Devadiga,1,21,up-yoddha,126
K. Prapanjan,1,22,tamil-thalaivas,104
Pawan Kumar Kadian,1,21,jaipur-pink-panthers,95
Wazir Singh,1,21,haryana-steelers,86
Anup Kumar,1,21,u-mumba,84
Kashiling Adake,1,20,u-mumba,81
Jang Kun Lee,1,21,bengal-warriors,80
Nilesh Salunke,1,21,telugu-titans,78
Abolfazl Maghsodloumahali,1,19,dabang-delhi-kc,77
Meraj Sheykh,1,20,dabang-delhi-kc,76
Rajesh Mondal,1,24,puneri-paltan,75
Deepak Narwal,1,16,bengal-warriors,71
Shrikant Jadhav,1,19,u-mumba,70
Ajay Kumar,1,22,bengaluru-bulls,70
Prashanth Kumar Rai,1,16,haryana-steelers,62
Deepak Kumar Dahiya,1,16,haryana-steelers,61
Sukesh Hegde,1,18,gujarat-fortunegiants,58
Rohit Baliyan,1,17,dabang-delhi-kc,55
Tushar Patil,1,17,jaipur-pink-panthers,49
Jasvir Singh,1,15,jaipur-pink-panthers,49
Nitin Rawal,1,21,jaipur-pink-panthers,49
CPO Surjeet Singh,1,17,haryana-steelers,47
Surender Singh,1,18,up-yoddha,47
Vikash Khandola,1,9,haryana-steelers,44
Mahendra Ganesh Rajput,1,17,gujarat-fortunegiants,43
Chandran Ranjit,1,11,gujarat-fortunegiants,43
Rohit Gulia,1,19,gujarat-fortunegiants,33
Mahesh Goud,1,21,up-yoddha,30
Shabeer Bappu,1,12,u-mumba,30
Sandeep Narwal,1,21,puneri-paltan,29
R. Sriram,1,11,dabang-delhi-kc,29
Vinod Kumar,1,19,bengal-warriors,27
Mohsen Maghsoudloujafari,1,16,telugu-titans,26
Vikas Kumar,1,14,telugu-titans,26
Anand Patil,1,19,dabang-delhi-kc,24
Dong Geon Lee,1,17,tamil-thalaivas,24
Darshan Kadian,1,16,u-mumba,24
Harish Naik,1,14,bengaluru-bulls,20
Vinod Kumar,1,21,patna-pirates,20
Vijay,1,19,patna-pirates,18
Ajit Singh,1,11,jaipur-pink-panthers,17
Ashish Kumar,1,20,bengaluru-bulls,16
Bhupender Singh,1,17,bengal-warriors,16
Rakesh Narwal,1,6,gujarat-fortunegiants,15
Vineet Sharma,1,18,tamil-thalaivas,15
Monu,1,19,puneri-paltan,15
More GB,1,6,puneri-paltan,13
Sunil Jaipal,1,13,bengaluru-bulls,13
Suresh Kumar,1,11,puneri-paltan,12
Rakshith,1,6,telugu-titans,11
M. Thivakaran,1,9,tamil-thalaivas,11
Nitin Madane,1,12,u-mumba,11
Gurvinder Singh,1,9,bengaluru-bulls,10
Rohit Kumar Choudary,1,11,puneri-paltan,10
Ran Singh,1,23,bengal-warriors,10
Akshay Jadhav,1,10,puneri-paltan,9
Vikas Jaglan,1,13,patna-pirates,8
Rajesh Narwal,1,16,up-yoddha,7
Rakesh Kumar,1,10,telugu-titans,7
Kuldeep Singh,1,20,u-mumba,7
Elangeshwaran R,1,5,telugu-titans,7
D. Pradap,1,16,tamil-thalaivas,6
Shubham Ashok Palkar,1,8,dabang-delhi-kc,6
Ashish Chhokar,1,5,haryana-steelers,6
Vinoth Kumar,1,4,telugu-titans,5
Pawan Kumar Sehrawat,1,9,gujarat-fortunegiants,5
Mayur Shivtarkar,1,5,haryana-steelers,5
Farhad Rahimi Milaghardan,1,18,telugu-titans,5
Mohan Raman G,1,4,u-mumba,4
Rahul Choudhary,1,5,jaipur-pink-panthers,4
Manjeet Chhillar,1,15,jaipur-pink-panthers,4
Ravi Dalal,1,5,dabang-delhi-kc,3
Virender Wazir Singh,1,3,bengal-warriors,3
PO Surjeet Singh,1,24,bengal-warriors,3
Selvamani K,1,3,jaipur-pink-panthers,3
Deepak Kumar Rathee,1,6,haryana-steelers,3
Rohit,1,2,bengaluru-bulls,3
Jawahar Dagar,1,18,patna-pirates,3
Sidharth,1,21,jaipur-pink-panthers,3
Sanoj Kumar,1,2,up-yoddha,2
Ravindra Ramesh Kumawat,1,2,bengal-warriors,2
Hadi Tajik,1,9,up-yoddha,2
Suresu Kumar,1,3,dabang-delhi-kc,2
Nilesh Shinde,1,15,dabang-delhi-kc,2
Shrikant Tewthia,1,23,bengal-warriors,2
Surender Nada,1,21,haryana-steelers,2
Ravinder Pahal,1,19,bengaluru-bulls,1
Santhosh B.S,1,9,up-yoddha,1
Mohit Chhillar,1,20,haryana-steelers,1
Girish Maruti Ernak,1,21,puneri-paltan,1
Preetam Chhillar,1,16,bengaluru-bulls,1
David Shilisia J Mosambayi,1,2,haryana-steelers,1
Umesh Mhatre,1,5,puneri-paltan,1
Sagar B Krishna,1,17,up-yoddha,1
Sunil Kumar,1,24,gujarat-fortunegiants,1
Yong Joo Ok,1,1,u-mumba,1
Gulveer Singh,1,4,up-yoddha,1
Vishal,1,5,dabang-delhi-kc,1
Bhavani Rajput,1,4,tamil-thalaivas,1
Rohit Kumar,1,7,up-yoddha,1
Mahender Singh,1,22,bengaluru-bulls,1
Rinku Narwal,1,13,puneri-paltan,1
Vikrant,1,3,telugu-titans,1
