team_name,Season,matches_played,total-points
Patna Pirates,5,26,921
U.P. Yoddha,5,23,763
Bengal Warriors,5,24,757
U Mumba,5,22,757
Tamil Thalaivas,5,22,752
Dabang Delhi K.C.,5,22,731
Haryana Steelers,5,23,726
Jaipur Pink Panthers,5,22,723
Telugu Titans,5,22,698
Puneri Paltan,5,24,683
Bengaluru Bulls,5,22,679
Gujarat Fortunegiants,5,24,641
