player_name,season,matches_played,team,super-raids
Pardeep Narwal,1,16,patna-pirates,10
Rishank Devadiga,1,16,u-mumba,4
Rohit Kumar,1,12,patna-pirates,4
Deepak Kumar Dahiya,1,10,bengaluru-bulls,3
Anup Kumar,1,13,u-mumba,3
Kashiling Adake,1,11,dabang-delhi-kc,3
Manjeet Chhillar,1,15,puneri-paltan,2
Rajesh Mondal,1,9,patna-pirates,2
Rajesh Narwal,1,14,jaipur-pink-panthers,2
Jasvir Singh,1,4,jaipur-pink-panthers,2
Jang Kun Lee,1,15,bengal-warriors,2
Ajay Thakur,1,14,puneri-paltan,2
Sonu Narwal,1,11,jaipur-pink-panthers,2
Surjeet Narwal,1,12,bengaluru-bulls,2
Ran Singh,1,14,jaipur-pink-panthers,2
Surender Singh,1,12,puneri-paltan,2
Tushar Patil,1,13,puneri-paltan,2
Rohit Baliyan,1,11,telugu-titans,2
Selvamani K,1,8,dabang-delhi-kc,1
Deepak Kumar Rathee,1,14,bengaluru-bulls,1
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,1
Nilesh Salunke,1,7,puneri-paltan,1
Pawan Kumar Sehrawat,1,13,bengaluru-bulls,1
Nitin Tomar,1,10,bengal-warriors,1
Shrikant Tewthia,1,13,bengaluru-bulls,1
Shyam Kumar Sah,1,7,bengal-warriors,1
Amit Om Prakash Rathi,1,8,bengaluru-bulls,1
Rahul Chaudhari,1,13,telugu-titans,1
