player_name,season,matches_played,team,raid-points
Pawan Kumar Sehrawat,1,24,bengaluru-bulls,271
Pardeep Narwal,1,21,patna-pirates,233
Siddharth Sirish Desai,1,21,u-mumba,218
Maninder Singh,1,22,bengal-warriors,206
Ajay Thakur,1,22,tamil-thalaivas,203
Deepak Niwas Hooda,1,22,jaipur-pink-panthers,196
Sachin Tanwar,1,23,gujarat-fortunegiants,190
Naveen Kumar,1,22,dabang-delhi-kc,172
Vikash Kandola,1,22,haryana-steelers,172
Rohit Kumar,1,24,bengaluru-bulls,162
Monu Goyat,1,20,haryana-steelers,160
Rahul Chaudhari,1,21,telugu-titans,159
Chandran Ranjit,1,24,dabang-delhi-kc,153
Prashanth Kumar Rai,1,21,up-yoddha,144
Shrikant Jadhav,1,25,up-yoddha,141
K. Prapanjan,1,22,gujarat-fortunegiants,122
Nitin Tomar,1,11,puneri-paltan,100
Rishank Devadiga,1,23,up-yoddha,100
Rohit Baliyan,1,19,u-mumba,94
Meraj Sheykh,1,19,dabang-delhi-kc,94
Naveen,1,21,haryana-steelers,88
Manjeet,1,22,patna-pirates,87
Nilesh Salunke,1,19,telugu-titans,81
Jang Kun Lee,1,18,bengal-warriors,79
More GB,1,22,puneri-paltan,79
Ajinkya Ashok Pawar,1,17,jaipur-pink-panthers,71
Deepak Narwal,1,17,patna-pirates,70
Sukesh Hegde,1,17,tamil-thalaivas,68
Kashiling Adake,1,20,bengaluru-bulls,67
Vijay,1,21,patna-pirates,60
Rohit Gulia,1,19,gujarat-fortunegiants,58
Athul MS,1,19,tamil-thalaivas,55
Darshan Kadian,1,14,u-mumba,49
Abhishek Singh,1,15,u-mumba,47
Pawan Kumar Kadian,1,13,dabang-delhi-kc,45
Monu,1,14,puneri-paltan,45
Jasvir Singh,1,16,tamil-thalaivas,42
Selvamani K,1,15,jaipur-pink-panthers,38
Mahesh Goud,1,10,bengal-warriors,38
Anup Kumar,1,13,jaipur-pink-panthers,38
Ravindra Ramesh Kumawat,1,12,bengal-warriors,37
Ajay Kumar,1,13,gujarat-fortunegiants,32
Dong Geon Lee,1,11,gujarat-fortunegiants,31
Deepak Kumar Dahiya,1,11,puneri-paltan,31
Ran Singh,1,22,bengal-warriors,29
Mohsen Maghsoudloujafari,1,19,telugu-titans,29
Mahendra Ganesh Rajput,1,13,gujarat-fortunegiants,28
Akshay Jadhav,1,18,puneri-paltan,28
Nitin Rawal,1,9,jaipur-pink-panthers,25
Sandeep Narwal,1,18,puneri-paltan,25
Sachin Kumar,1,25,up-yoddha,25
Abolfazl Maghsodloumahali,1,10,u-mumba,23
Farhad Rahimi Milaghardan,1,22,telugu-titans,22
Vinod Kumar,1,17,u-mumba,22
Harish Naik,1,7,bengaluru-bulls,21
Vikas Jaglan,1,14,patna-pirates,21
Azad Singh,1,9,up-yoddha,21
Tushar Patil,1,9,patna-pirates,20
CPO Surjeet Singh,1,9,tamil-thalaivas,16
Amit Nagar,1,9,bengal-warriors,15
Rakshith,1,11,telugu-titans,14
Rajesh Mondal,1,11,puneri-paltan,14
Armaan,1,4,telugu-titans,13
Kamal Singh,1,8,telugu-titans,13
Anand Patil,1,7,jaipur-pink-panthers,13
Amit Kumar,1,17,jaipur-pink-panthers,12
Sumit Singh,1,8,bengaluru-bulls,11
Bhupender Singh,1,4,bengal-warriors,10
C Manoj Kumar,1,12,telugu-titans,10
Rakesh Narwal,1,6,bengal-warriors,9
D. Pradap,1,13,tamil-thalaivas,9
Ajit Singh,1,6,jaipur-pink-panthers,9
Bhanu Pratap Tomar,1,6,up-yoddha,9
Rajnish,1,4,telugu-titans,9
Anand,1,3,tamil-thalaivas,8
Anand Surendra Tomar,1,5,haryana-steelers,8
Amit Kumar,1,6,puneri-paltan,8
Manjeet Chhillar,1,19,tamil-thalaivas,8
Sandeep,1,5,puneri-paltan,7
Mahesh Maruti Magdum,1,4,bengaluru-bulls,7
Rajesh Narwal,1,16,dabang-delhi-kc,7
Shabeer Bappu,1,6,dabang-delhi-kc,7
Parvesh,1,6,puneri-paltan,7
Victor Onyango Obiero,1,3,tamil-thalaivas,6
Bhuvneshwar Gaur,1,6,haryana-steelers,6
Hadi Oshtorak,1,13,gujarat-fortunegiants,6
Dharmender,1,4,gujarat-fortunegiants,5
Sunil Siddhgavali,1,16,jaipur-pink-panthers,5
Ashish Kumar,1,24,bengaluru-bulls,5
David Shilisia J Mosambayi,1,4,jaipur-pink-panthers,4
Arjun Deshwal,1,3,u-mumba,4
Mayur Shivtarkar,1,18,haryana-steelers,4
Md. Masud Karim,1,3,up-yoddha,3
Jawahar Dagar,1,15,patna-pirates,3
Sachin Vittala,1,22,gujarat-fortunegiants,3
Lalit Chaudhary,1,3,gujarat-fortunegiants,3
Parveen,1,19,haryana-steelers,3
Prateek,1,6,haryana-steelers,3
Shrikant Tewthia,1,8,bengal-warriors,3
Mithin Kumar,1,3,bengal-warriors,3
Yogesh Hooda,1,6,dabang-delhi-kc,3
Anand V,1,3,bengaluru-bulls,3
Rohit Kumar Choudary,1,6,up-yoddha,3
PO Surjeet Singh,1,23,bengal-warriors,3
Adarsh T,1,10,bengal-warriors,2
Vijay Kumar,1,4,patna-pirates,2
Amit Hooda,1,18,tamil-thalaivas,2
Wazir Singh,1,2,haryana-steelers,2
Gaurav Kumar,1,3,u-mumba,2
Vimal Raj V,1,5,tamil-thalaivas,2
Gangadhari Mallesh,1,6,jaipur-pink-panthers,2
Vishav Chaudhary,1,2,up-yoddha,2
Lokesh Kaushik,1,6,jaipur-pink-panthers,2
Shubham Ashok Palkar,1,4,gujarat-fortunegiants,2
Baldev Singh,1,18,bengal-warriors,1
Satpal,1,12,dabang-delhi-kc,1
Krushna Madane,1,6,telugu-titans,1
Arun Kumar HN,1,2,haryana-steelers,1
Anuj Kumar,1,7,telugu-titans,1
Vishal,1,6,dabang-delhi-kc,1
Amit Kumar,1,2,bengal-warriors,1
Rinku Narwal,1,15,puneri-paltan,1
Nitesh Kumar,1,25,up-yoddha,1
Girish Maruti Ernak,1,20,puneri-paltan,1
Anil Kumar,1,18,telugu-titans,1
