team_name,Season,matches_played,super-tackles
Bengal Warriors,2,14,21
Jaipur Pink Panthers,2,14,18
Telugu Titans,2,16,16
U Mumba,2,16,16
Dabang Delhi K.C.,2,14,14
Patna Pirates,2,16,13
Puneri Paltan,2,14,11
Bengaluru Bulls,2,16,7
