player_name,season,matches_played,team,raid-points
Pardeep Narwal,1,16,patna-pirates,116
Rishank Devadiga,1,16,u-mumba,106
Rohit Kumar,1,12,patna-pirates,102
Rahul Chaudhari,1,13,telugu-titans,87
Jang Kun Lee,1,15,bengal-warriors,79
Nitin Tomar,1,10,bengal-warriors,77
Anup Kumar,1,13,u-mumba,76
Kashiling Adake,1,11,dabang-delhi-kc,75
Deepak Niwas Hooda,1,12,puneri-paltan,69
CPO Surjeet Singh,1,12,dabang-delhi-kc,68
Sukesh Hegde,1,13,telugu-titans,61
Rajesh Narwal,1,14,jaipur-pink-panthers,59
Sonu Narwal,1,11,jaipur-pink-panthers,55
Rohit Baliyan,1,11,telugu-titans,54
Ajay Thakur,1,14,puneri-paltan,52
Pawan Kumar Sehrawat,1,13,bengaluru-bulls,45
Manjeet Chhillar,1,15,puneri-paltan,45
Surender Singh,1,12,puneri-paltan,44
Surjeet Narwal,1,12,bengaluru-bulls,40
Selvamani K,1,8,dabang-delhi-kc,38
Deepak Kumar Dahiya,1,10,bengaluru-bulls,37
Mahesh Goud,1,13,bengal-warriors,33
Rakesh Kumar,1,15,u-mumba,33
Deepak Narwal,1,9,patna-pirates,31
Amit Om Prakash Rathi,1,8,bengaluru-bulls,30
Rajesh Mondal,1,9,patna-pirates,27
Meraj Sheykh,1,14,telugu-titans,27
Jasvir Singh,1,4,jaipur-pink-panthers,25
Manpreet Singh,1,13,patna-pirates,24
Tushar Patil,1,13,puneri-paltan,22
Ran Singh,1,14,jaipur-pink-panthers,20
Shrikant Tewthia,1,13,bengaluru-bulls,20
Mahendra Ganesh Rajput,1,8,bengal-warriors,19
Vinoth Kumar,1,7,bengaluru-bulls,16
Rohit Kumar Choudary,1,7,dabang-delhi-kc,16
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,15
Umesh Mhatre,1,6,bengal-warriors,14
Mohammad Maghshoudulu,1,10,jaipur-pink-panthers,13
Shabeer Bappu,1,10,u-mumba,13
Prashanth Kumar Rai,1,13,telugu-titans,12
Bhupender Singh,1,11,u-mumba,11
Nilesh Salunke,1,7,puneri-paltan,10
Shrikant Jadhav,1,5,bengal-warriors,10
Sandeep Narwal,1,14,patna-pirates,9
Anil Kashinath Patil,1,5,jaipur-pink-panthers,8
Ravinder Pahal,1,11,dabang-delhi-kc,8
Vineet Sharma,1,4,bengal-warriors,8
Shyam Kumar Sah,1,7,bengal-warriors,7
Ashish Kumar,1,13,bengaluru-bulls,7
Kuldeep Singh,1,10,jaipur-pink-panthers,7
Virender Wazir Singh,1,4,telugu-titans,6
Dharmaraj Cheralathan,1,14,telugu-titans,6
Yogesh Hooda,1,6,puneri-paltan,6
Pawan Kumar Kadian,1,5,u-mumba,6
Deepak Kumar Rathee,1,14,bengaluru-bulls,6
Mahipal Narwal,1,4,patna-pirates,5
Gnanasekaran M,1,8,dabang-delhi-kc,5
Preetam Chhillar,1,11,bengaluru-bulls,5
Sunil Jaipal,1,2,patna-pirates,4
Gurvinder Singh,1,5,patna-pirates,4
Seong Ryeol Kim,1,8,dabang-delhi-kc,3
Jay Bahadur Bohara,1,1,dabang-delhi-kc,2
Suresu Kumar,1,3,u-mumba,2
Simon Kibura,1,2,puneri-paltan,2
Vinoth Paulyas,1,3,u-mumba,2
K. Prapanjan,1,4,u-mumba,2
Anil Kumar,1,11,dabang-delhi-kc,2
Nilesh Shinde,1,16,bengal-warriors,2
Samarjeet Singh,1,5,jaipur-pink-panthers,2
Parvesh Attri,1,1,bengaluru-bulls,1
Isac Antony,1,2,telugu-titans,1
Navneet Gautam,1,7,jaipur-pink-panthers,1
Fazel Atrachali,1,11,u-mumba,1
Somvir,1,14,bengaluru-bulls,1
Nirbhay Narwal,1,2,bengaluru-bulls,1
Sunil,1,15,patna-pirates,1
Tae Deok Eom,1,7,patna-pirates,1
PO Surjeet Singh,1,12,puneri-paltan,1
Surender Nada,1,7,u-mumba,1
Pravin Niwale,1,2,dabang-delhi-kc,1
C. Arun,1,11,jaipur-pink-panthers,1
Rohit Rana,1,12,jaipur-pink-panthers,1
Girish Maruti Ernak,1,11,bengal-warriors,1
Gangadhari Mallesh,1,10,jaipur-pink-panthers,1
