player_name,season,matches_played,team,super-tackles
Vishal Bhardwaj,1,18,telugu-titans,9
Sandeep Kumar Dhull,1,20,jaipur-pink-panthers,7
Vishal,1,14,jaipur-pink-panthers,7
Mahender Singh,1,16,bengaluru-bulls,7
Monu,1,19,patna-pirates,7
Jadhav Balasaheb Shahaji,1,18,puneri-paltan,7
Nitesh Kumar,1,18,up-yoddha,6
Hadi Oshtorak,1,19,patna-pirates,6
Sunil Kumar,1,18,gujarat-fortunegiants,6
Ravi Kumar,1,17,haryana-steelers,5
PO Surjeet Singh,1,19,puneri-paltan,5
Sandeep Narwal,1,19,u-mumba,5
Baldev Singh,1,20,bengal-warriors,5
Saurabh Nandal,1,18,bengaluru-bulls,5
Neeraj Kumar,1,19,patna-pirates,4
Nitin Rawal,1,15,jaipur-pink-panthers,4
Dharmaraj Cheralathan,1,17,haryana-steelers,4
Joginder Singh Narwal,1,20,dabang-delhi-kc,4
Amit Hooda,1,14,jaipur-pink-panthers,3
Girish Maruti Ernak,1,15,puneri-paltan,3
C. Arun,1,18,telugu-titans,3
Mohit Chhillar,1,18,tamil-thalaivas,3
Sagar B Krishna,1,12,puneri-paltan,3
Fazel Atrachali,1,19,u-mumba,3
Rakesh Gowda,1,9,telugu-titans,3
Abozar Mohajermighani,1,18,telugu-titans,3
Jaideep,1,19,patna-pirates,3
Sunil Siddhgavali,1,14,jaipur-pink-panthers,3
Amit Sheoran,1,19,bengaluru-bulls,3
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,2
Shubham Shinde,1,13,puneri-paltan,2
Pavan T. R.,1,15,jaipur-pink-panthers,2
Mohit Sehrawat,1,13,bengaluru-bulls,2
Rinku Narwal,1,20,bengal-warriors,2
Amit,1,18,up-yoddha,2
Young Chang Ko,1,10,u-mumba,2
Surinder Singh,1,19,u-mumba,2
Parvesh Bhainswal,1,20,gujarat-fortunegiants,2
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,2
Deepak Niwas Hooda,1,20,jaipur-pink-panthers,2
Manjeet Chhillar,1,15,tamil-thalaivas,2
Vikas Kale,1,18,haryana-steelers,2
Amit Kumar,1,9,telugu-titans,2
Ashish Kumar,1,7,bengaluru-bulls,2
Ashu Singh,1,18,up-yoddha,2
Ankit,1,12,gujarat-fortunegiants,2
Sagar,1,11,tamil-thalaivas,1
Elavarasan A,1,3,jaipur-pink-panthers,1
Sumit Malik,1,14,gujarat-fortunegiants,1
Amit Kumar,1,6,puneri-paltan,1
Sachin Kumar,1,12,up-yoddha,1
Chandran Ranjit,1,19,dabang-delhi-kc,1
Jeeva Kumar,1,19,bengal-warriors,1
Shabeer Bappu,1,14,tamil-thalaivas,1
Ran Singh,1,19,tamil-thalaivas,1
Monu Goyat,1,10,up-yoddha,1
Sumit Singh,1,15,bengaluru-bulls,1
Rohit Baliyan,1,16,u-mumba,1
Vineet Sharma,1,11,tamil-thalaivas,1
Hadi Tajik,1,12,puneri-paltan,1
Anil Kumar,1,16,dabang-delhi-kc,1
Pawan Kumar Sehrawat,1,19,bengaluru-bulls,1
Nitin Tomar,1,13,puneri-paltan,1
Manjeet,1,20,puneri-paltan,1
Vijay Kumar,1,9,bengaluru-bulls,1
Amit Kharb,1,5,gujarat-fortunegiants,1
More GB,1,17,gujarat-fortunegiants,1
Mohsen Maghsoudloujafari,1,11,up-yoddha,1
Rohit Gulia,1,20,gujarat-fortunegiants,1
Santhapanaselvam,1,8,jaipur-pink-panthers,1
Victor Onyango Obiero,1,3,tamil-thalaivas,1
Surender Gill,1,15,up-yoddha,1
Amit Kumar,1,13,puneri-paltan,1
Lalit Chaudhary,1,4,gujarat-fortunegiants,1
Mohit Balyan,1,1,u-mumba,1
Sumit,1,18,up-yoddha,1
Sunil,1,17,haryana-steelers,1
Parveen,1,6,haryana-steelers,1
Ankit,1,7,bengaluru-bulls,1
Ajeet,1,14,tamil-thalaivas,1
Chand Singh,1,9,haryana-steelers,1
Ravinder,1,5,patna-pirates,1
Sonu Jaglan,1,15,gujarat-fortunegiants,1
Harendra Kumar,1,17,u-mumba,1
