team_name,Season,matches_played,super-raid
Telugu Titans,2,16,16
Dabang Delhi K.C.,2,14,14
Bengaluru Bulls,2,16,10
Bengal Warriors,2,14,9
Puneri Paltan,2,14,8
U Mumba,2,16,7
Jaipur Pink Panthers,2,14,5
Patna Pirates,2,16,4
