team_name,Season,matches_played,avg-points
Dabang Delhi K.C.,7,20,31.2
Bengal Warriors,7,20,30.9
Bengaluru Bulls,7,19,30.73
Haryana Steelers,7,19,30.1
Puneri Paltan,7,20,29.5
Patna Pirates,7,19,29.42
Telugu Titans,7,18,28.55
Jaipur Pink Panthers,7,20,27.8
U Mumba,7,19,26.73
U.P. Yoddha,7,18,26.72
Gujarat Fortunegiants,7,20,26.15
Tamil Thalaivas,7,20,25.75
