team_name,Season,matches_played,all-outs
Haryana Steelers,6,22,33
Jaipur Pink Panthers,6,22,32
Patna Pirates,6,22,30
U.P. Yoddha,6,25,30
Puneri Paltan,6,22,29
Dabang Delhi K.C.,6,24,28
Tamil Thalaivas,6,22,27
Telugu Titans,6,22,25
Bengaluru Bulls,6,24,24
Bengal Warriors,6,23,23
Gujarat Fortunegiants,6,25,20
U Mumba,6,23,16
