team_name,Season,matches_played,all-outs
Dabang Delhi K.C.,7,20,34
Bengal Warriors,7,20,34
Patna Pirates,7,19,28
Haryana Steelers,7,19,27
U Mumba,7,19,26
U.P. Yoddha,7,18,21
Gujarat Fortunegiants,7,20,21
Bengaluru Bulls,7,19,21
Jaipur Pink Panthers,7,20,19
Puneri Paltan,7,20,18
Tamil Thalaivas,7,20,14
Telugu Titans,7,18,13
