player_name,season,matches_played,team,super-raids
Kashiling Adake,1,14,dabang-delhi-kc,7
Rahul Chaudhari,1,14,telugu-titans,6
Ajay Thakur,1,13,bengaluru-bulls,6
Rohit Kumar Choudary,1,14,dabang-delhi-kc,6
Sukesh Hegde,1,13,telugu-titans,5
Rajesh Narwal,1,14,jaipur-pink-panthers,3
Jang Kun Lee,1,14,bengal-warriors,3
Mahendra Ganesh Rajput,1,12,bengal-warriors,3
Meraj Sheykh,1,15,telugu-titans,3
Sanjay Kumar,1,7,puneri-paltan,2
Pradeep Kumar,1,6,u-mumba,2
Rakesh Narwal,1,11,bengaluru-bulls,2
Shabeer Bappu,1,10,u-mumba,2
Wazir Singh,1,11,puneri-paltan,2
Sunil Jaipal,1,10,bengal-warriors,2
Pravin Niwale,1,8,puneri-paltan,2
Rajesh Mondal,1,15,bengaluru-bulls,1
Anup Kumar,1,14,u-mumba,1
Bhupender Singh,1,11,u-mumba,1
Deepak Niwas Hooda,1,15,telugu-titans,1
Gurvinder Singh,1,16,patna-pirates,1
Kalimuthu Balamahendran,1,6,puneri-paltan,1
Sandeep Narwal,1,16,patna-pirates,1
Prashanth Kumar Rai,1,15,telugu-titans,1
Pawan Kumar Kadian,1,10,u-mumba,1
Ravi Dalal,1,11,patna-pirates,1
Deepak Narwal,1,16,patna-pirates,1
Sachin Vittala,1,4,puneri-paltan,1
Kedar Lal,1,9,bengal-warriors,1
Sonu Narwal,1,11,jaipur-pink-panthers,1
Pardeep Narwal,1,6,bengaluru-bulls,1
Kuldeep Singh,1,14,jaipur-pink-panthers,1
Selvamani K,1,10,dabang-delhi-kc,1
