team_name,Season,matches_played,successful-raids
Telugu Titans,2,16,265
Bengaluru Bulls,2,16,194
U Mumba,2,16,187
Jaipur Pink Panthers,2,14,183
Patna Pirates,2,16,182
Puneri Paltan,2,14,170
Dabang Delhi K.C.,2,14,159
Bengal Warriors,2,14,134
