player_name,season,matches_played,team,high-5s
PO Surjeet Singh,1,92,puneri-paltan,25
Manjeet Chhillar,1,108,tamil-thalaivas,23
Ravinder Pahal,1,109,dabang-delhi-kc,23
Surender Nada,1,71,haryana-steelers,19
Fazel Atrachali,1,98,u-mumba,19
Mohit Chhillar,1,109,tamil-thalaivas,18
Sandeep Narwal,1,120,u-mumba,16
Girish Maruti Ernak,1,104,puneri-paltan,16
Vishal Bhardwaj,1,59,telugu-titans,15
Nitesh Kumar,1,62,up-yoddha,15
Sandeep Kumar Dhull,1,64,jaipur-pink-panthers,13
Dharmaraj Cheralathan,1,116,haryana-steelers,12
Jaideep,1,67,patna-pirates,12
Mahender Singh,1,62,bengaluru-bulls,12
Amit Hooda,1,86,jaipur-pink-panthers,11
Parvesh Bhainswal,1,76,gujarat-fortunegiants,11
Sunil Kumar,1,68,gujarat-fortunegiants,10
Ravi Kumar,1,92,haryana-steelers,8
Vishal Mane,1,125,dabang-delhi-kc,8
Rohit Rana,1,82,u-mumba,7
Nilesh Shinde,1,69,dabang-delhi-kc,7
Abozar Mohajermighani,1,63,telugu-titans,7
Baldev Singh,1,38,bengal-warriors,7
Surinder Singh,1,63,u-mumba,7
Sandeep Kandola,1,16,telugu-titans,6
Kuldeep Singh,1,66,patna-pirates,6
D. Suresh Kumar,1,59,u-mumba,6
Jasmer Singh Gulia,1,52,bengaluru-bulls,5
Jeeva Kumar,1,112,bengal-warriors,5
Sachin Shingade,1,75,haryana-steelers,5
Sagar B Krishna,1,60,puneri-paltan,5
Amit Sheoran,1,38,bengaluru-bulls,5
Sumit,1,18,up-yoddha,5
Sunil,1,39,haryana-steelers,5
Sunil Siddhgavali,1,42,jaipur-pink-panthers,5
Saurabh Nandal,1,18,bengaluru-bulls,5
Rinku Narwal,1,48,bengal-warriors,4
Vikas Kale,1,59,haryana-steelers,4
Ashish Kumar,1,83,bengaluru-bulls,4
Deepak Niwas Hooda,1,123,jaipur-pink-panthers,4
Ran Singh,1,118,tamil-thalaivas,4
Somvir Shekhar,1,61,jaipur-pink-panthers,4
Kuldeep Singh,1,20,bengaluru-bulls,3
Rajesh Narwal,1,92,dabang-delhi-kc,3
C. Arun,1,87,telugu-titans,3
Sachin Kumar,1,46,up-yoddha,3
Hadi Oshtorak,1,69,patna-pirates,3
Neeraj Kumar,1,36,patna-pirates,3
Kuldeep Singh,1,36,haryana-steelers,3
Jadhav Balasaheb Shahaji,1,18,puneri-paltan,3
Vishal,1,25,jaipur-pink-panthers,2
Vinod Kumar,1,47,gujarat-fortunegiants,2
Narender,1,28,up-yoddha,2
Sombir,1,31,dabang-delhi-kc,2
Akshay Jadhav,1,29,puneri-paltan,2
Jawahar Dagar,1,46,patna-pirates,2
Joginder Singh Narwal,1,80,dabang-delhi-kc,2
Sunil,1,63,tamil-thalaivas,2
Vijendar Singh,1,8,telugu-titans,2
Manoj Kumar,1,52,gujarat-fortunegiants,2
Jitesh Joshi,1,19,puneri-paltan,2
Amit Singh Chhillar,1,35,telugu-titans,2
Ram Kumar Sah,1,11,dabang-delhi-kc,2
Sachin Khambe,1,22,puneri-paltan,2
Shrikant Tewthia,1,71,bengal-warriors,2
Bajirao Hodage,1,61,jaipur-pink-panthers,2
Prashant Chavan,1,41,dabang-delhi-kc,2
Rakesh Singh Kumar,1,49,haryana-steelers,2
D. Gopu,1,34,tamil-thalaivas,1
Shyam Kumar Sah,1,27,bengal-warriors,1
Shabeer Bappu,1,74,tamil-thalaivas,1
Sunil Jaipal,1,38,bengaluru-bulls,1
Bhupender Singh,1,47,bengal-warriors,1
Gurpreet Singh,1,18,puneri-paltan,1
Navneet Gautam,1,31,jaipur-pink-panthers,1
Rakesh Kumar,1,55,telugu-titans,1
Nitin More,1,22,bengal-warriors,1
Deepak Dhull,1,10,patna-pirates,1
Deepak Kumar,1,7,bengal-warriors,1
Vinod Kumar,1,27,puneri-paltan,1
Farhad Rahimi Milaghardan,1,58,telugu-titans,1
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,1
Rohit Kumar,1,89,bengaluru-bulls,1
Young Chang Ko,1,37,u-mumba,1
Ziaur Rahman,1,34,bengal-warriors,1
Pankaj,1,23,gujarat-fortunegiants,1
Darshan J.,1,29,tamil-thalaivas,1
Nitin Rawal,1,45,jaipur-pink-panthers,1
Satpal,1,22,dabang-delhi-kc,1
Ruturaj Shivaji Koravi,1,38,gujarat-fortunegiants,1
Monu,1,52,patna-pirates,1
Anil Kumar,1,6,tamil-thalaivas,1
Vijay,1,59,dabang-delhi-kc,1
Sidharth,1,21,dabang-delhi-kc,1
Mohit Sehrawat,1,13,bengaluru-bulls,1
Parveen,1,25,haryana-steelers,1
Amit Kumar,1,17,jaipur-pink-panthers,1
Ponparthiban Subramanian,1,19,tamil-thalaivas,1
Harendra Kumar,1,17,u-mumba,1
