player_name,season,matches_played,team,high-5s
Manjeet Chhillar,1,12,puneri-paltan,5
Mohit Chhillar,1,14,bengaluru-bulls,4
Dharmaraj Cheralathan,1,14,patna-pirates,4
Sachin Shingade,1,14,dabang-delhi-kc,4
Fazel Atrachali,1,16,patna-pirates,4
Amit Hooda,1,16,jaipur-pink-panthers,3
Sandeep Narwal,1,16,telugu-titans,3
Ravinder Pahal,1,14,puneri-paltan,3
Sandeep Kumar Dhull,1,12,telugu-titans,2
PO Surjeet Singh,1,14,u-mumba,2
Vishal Mane,1,14,bengal-warriors,2
Kuldeep Singh,1,15,patna-pirates,2
Vinod Kumar,1,12,telugu-titans,1
Hadi Oshtorak,1,7,patna-pirates,1
Ashish Kumar,1,14,bengaluru-bulls,1
Girish Maruti Ernak,1,12,bengal-warriors,1
Bajirao Hodage,1,14,patna-pirates,1
Surender Nada,1,13,bengaluru-bulls,1
D. Gopu,1,5,dabang-delhi-kc,1
Jasmer Singh Gulia,1,13,telugu-titans,1
Shabeer Bappu,1,12,jaipur-pink-panthers,1
