player_name,season,matches_played,team,successful-raids
Pawan Kumar Sehrawat,1,24,bengaluru-bulls,209
Pardeep Narwal,1,21,patna-pirates,185
Ajay Thakur,1,22,tamil-thalaivas,177
Siddharth Sirish Desai,1,21,u-mumba,169
Deepak Niwas Hooda,1,22,jaipur-pink-panthers,162
Sachin Tanwar,1,23,gujarat-fortunegiants,159
Maninder Singh,1,22,bengal-warriors,158
Naveen Kumar,1,22,dabang-delhi-kc,144
Rahul Chaudhari,1,21,telugu-titans,136
Vikash Kandola,1,22,haryana-steelers,136
Rohit Kumar,1,24,bengaluru-bulls,129
Monu Goyat,1,20,haryana-steelers,128
Chandran Ranjit,1,24,dabang-delhi-kc,127
Prashanth Kumar Rai,1,21,up-yoddha,112
Shrikant Jadhav,1,25,up-yoddha,108
K. Prapanjan,1,22,gujarat-fortunegiants,95
Nitin Tomar,1,11,puneri-paltan,84
Rohit Baliyan,1,19,u-mumba,82
Rishank Devadiga,1,23,up-yoddha,82
Manjeet,1,22,patna-pirates,76
Naveen,1,21,haryana-steelers,71
Meraj Sheykh,1,19,dabang-delhi-kc,71
Jang Kun Lee,1,18,bengal-warriors,61
More GB,1,22,puneri-paltan,60
Nilesh Salunke,1,19,telugu-titans,59
Ajinkya Ashok Pawar,1,17,jaipur-pink-panthers,57
Deepak Narwal,1,17,patna-pirates,55
Kashiling Adake,1,20,bengaluru-bulls,51
Sukesh Hegde,1,17,tamil-thalaivas,51
Vijay,1,21,patna-pirates,50
Rohit Gulia,1,19,gujarat-fortunegiants,48
Athul MS,1,19,tamil-thalaivas,46
Darshan Kadian,1,14,u-mumba,38
Monu,1,14,puneri-paltan,38
Abhishek Singh,1,15,u-mumba,38
Pawan Kumar Kadian,1,13,dabang-delhi-kc,32
Jasvir Singh,1,16,tamil-thalaivas,32
Anup Kumar,1,13,jaipur-pink-panthers,30
Ravindra Ramesh Kumawat,1,12,bengal-warriors,29
Selvamani K,1,15,jaipur-pink-panthers,27
Mahesh Goud,1,10,bengal-warriors,26
Deepak Kumar Dahiya,1,11,puneri-paltan,26
Akshay Jadhav,1,18,puneri-paltan,25
Mohsen Maghsoudloujafari,1,19,telugu-titans,25
Ajay Kumar,1,13,gujarat-fortunegiants,23
Ran Singh,1,22,bengal-warriors,23
Dong Geon Lee,1,11,gujarat-fortunegiants,22
Sachin Kumar,1,25,up-yoddha,21
Abolfazl Maghsodloumahali,1,10,u-mumba,19
Nitin Rawal,1,9,jaipur-pink-panthers,19
Mahendra Ganesh Rajput,1,13,gujarat-fortunegiants,18
Farhad Rahimi Milaghardan,1,22,telugu-titans,17
Sandeep Narwal,1,18,puneri-paltan,16
Vinod Kumar,1,17,u-mumba,15
Azad Singh,1,9,up-yoddha,14
Harish Naik,1,7,bengaluru-bulls,14
Amit Nagar,1,9,bengal-warriors,13
Tushar Patil,1,9,patna-pirates,13
Vikas Jaglan,1,14,patna-pirates,13
Rajesh Mondal,1,11,puneri-paltan,13
Rakshith,1,11,telugu-titans,12
Amit Kumar,1,17,jaipur-pink-panthers,10
CPO Surjeet Singh,1,9,tamil-thalaivas,10
Anand Patil,1,7,jaipur-pink-panthers,9
Armaan,1,4,telugu-titans,9
Rajnish,1,4,telugu-titans,8
Kamal Singh,1,8,telugu-titans,7
C Manoj Kumar,1,12,telugu-titans,7
Anand,1,3,tamil-thalaivas,7
Anand Surendra Tomar,1,5,haryana-steelers,7
Ajit Singh,1,6,jaipur-pink-panthers,7
Sumit Singh,1,8,bengaluru-bulls,7
Shabeer Bappu,1,6,dabang-delhi-kc,6
Bhupender Singh,1,4,bengal-warriors,6
Bhanu Pratap Tomar,1,6,up-yoddha,6
Mahesh Maruti Magdum,1,4,bengaluru-bulls,5
Parvesh,1,6,puneri-paltan,5
D. Pradap,1,13,tamil-thalaivas,5
Manjeet Chhillar,1,19,tamil-thalaivas,5
Rajesh Narwal,1,16,dabang-delhi-kc,5
Rakesh Narwal,1,6,bengal-warriors,5
Hadi Oshtorak,1,13,gujarat-fortunegiants,4
Sandeep,1,5,puneri-paltan,4
Sunil Siddhgavali,1,16,jaipur-pink-panthers,4
Victor Onyango Obiero,1,3,tamil-thalaivas,4
Amit Kumar,1,6,puneri-paltan,4
Anand V,1,3,bengaluru-bulls,3
Arjun Deshwal,1,3,u-mumba,3
Bhuvneshwar Gaur,1,6,haryana-steelers,3
Ashish Kumar,1,24,bengaluru-bulls,3
Rohit Kumar Choudary,1,6,up-yoddha,2
Wazir Singh,1,2,haryana-steelers,2
Shrikant Tewthia,1,8,bengal-warriors,2
PO Surjeet Singh,1,23,bengal-warriors,2
Sachin Vittala,1,22,gujarat-fortunegiants,2
Lokesh Kaushik,1,6,jaipur-pink-panthers,2
Shubham Ashok Palkar,1,4,gujarat-fortunegiants,2
Vimal Raj V,1,5,tamil-thalaivas,2
Gaurav Kumar,1,3,u-mumba,2
Dharmender,1,4,gujarat-fortunegiants,2
Mithin Kumar,1,3,bengal-warriors,2
Md. Masud Karim,1,3,up-yoddha,2
Lalit Chaudhary,1,3,gujarat-fortunegiants,1
Rinku Narwal,1,15,puneri-paltan,1
Vishal,1,6,dabang-delhi-kc,1
Vishav Chaudhary,1,2,up-yoddha,1
Vijay Kumar,1,4,patna-pirates,1
Anuj Kumar,1,7,telugu-titans,1
Arun Kumar HN,1,2,haryana-steelers,1
Parveen,1,19,haryana-steelers,1
Adarsh T,1,10,bengal-warriors,1
Prateek,1,6,haryana-steelers,1
Mayur Shivtarkar,1,18,haryana-steelers,1
Jawahar Dagar,1,15,patna-pirates,1
Yogesh Hooda,1,6,dabang-delhi-kc,1
David Shilisia J Mosambayi,1,4,jaipur-pink-panthers,1
Krushna Madane,1,6,telugu-titans,1
Gangadhari Mallesh,1,6,jaipur-pink-panthers,1
Amit Kumar,1,2,bengal-warriors,1
