team_name,Season,matches_played,super-raid
Patna Pirates,3,16,16
Puneri Paltan,3,16,9
Bengaluru Bulls,3,14,9
Jaipur Pink Panthers,3,14,8
U Mumba,3,16,7
Dabang Delhi K.C.,3,14,5
Bengal Warriors,3,16,4
Telugu Titans,3,14,3
