team_name,Season,matches_played,tackle-points
Patna Pirates,4,16,171
Telugu Titans,4,16,162
Puneri Paltan,4,16,146
Jaipur Pink Panthers,4,16,135
Dabang Delhi K.C.,4,14,134
Bengal Warriors,4,14,125
Bengaluru Bulls,4,14,124
U Mumba,4,14,121
