match_date,match_result,season
"Sunday, 02 August",Jaipur Pink Panthers beat Puneri Paltan (35-29),2
"Sunday, 02 August",Match Tied,2
"Tuesday, 04 August",Match Tied,2
"Tuesday, 04 August",U Mumba beat Dabang Delhi (29-25),2
"Wednesday, 05 August",Telugu Titans beat Bengal Warriors (44-28),2
"Thursday, 06 August",Bengaluru Bulls beat Bengal Warriors (33-22),2
"Thursday, 06 August",Telugu Titans beat Patna Pirates (54-32),2
"Friday, 07 August",Jaipur Pink Panthers beat U Mumba (35-25),2
"Friday, 07 August",Match Tied,2
"Saturday, 08 August",Bengal Warriors beat Dabang Delhi (20-17),2
"Saturday, 08 August",Patna Pirates beat Bengaluru Bulls (30-28),2
"Sunday, 09 August",U Mumba beat Bengal Warriors (31-17),2
"Sunday, 09 August",Dabang Delhi beat Patna Pirates (45-26),2
"Monday, 10 August",Jaipur Pink Panthers beat Dabang Delhi (51-21),2
"Tuesday, 11 August",Jaipur Pink Panthers beat Puneri Paltan (31-18),2
"Tuesday, 11 August",Match Tied,2
"Wednesday, 12 August",U Mumba beat Bengaluru Bulls (36-29),2
"Thursday, 13 August",Bengal Warriors beat Puneri Paltan (31-28),2
"Thursday, 13 August",Jaipur Pink Panthers beat Bengaluru Bulls (27-25),2
"Friday, 14 August",Patna Pirates beat Bengal Warriors (34-32),2
"Friday, 14 August",Bengaluru Bulls beat Dabang Delhi (40-21),2
"Saturday, 15 August",U Mumba beat Patna Pirates (32-27),2
"Saturday, 15 August",Bengaluru Bulls beat Telugu Titans (43-29),2
"Sunday, 16 August",Puneri Paltan beat Dabang Delhi (33-28),2
"Sunday, 16 August",Bengal Warriors beat Jaipur Pink Panthers (39-38),2
"Monday, 17 August",U Mumba beat Puneri Paltan (39-34),2
"Tuesday, 18 August",Telugu Titans beat U Mumba (46-25),2
"Tuesday, 18 August",Patna Pirates beat Puneri Paltan (38-21),2
"Wednesday, 19 August",Patna Pirates beat Jaipur Pink Panthers (26-24),2
"Wednesday, 19 August",Bengaluru Bulls beat Puneri Paltan (31-30),2
"Friday, 21 August",Bengaluru Bulls beat Telugu Titans (39-38),2
"Friday, 21 August",U Mumba beat Patna Pirates (35-18),2
"Sunday, 23 August",Telugu Titans beat Patna Pirates (34-26),2
"Sunday, 23 August",U Mumba beat Bengaluru Bulls (36-30),2
"Saturday, 30 January",U Mumba beat Telugu Titans (27-25),3
"Saturday, 30 January",Bengaluru Bulls beat Dabang Delhi (35-29),3
"Sunday, 31 January",Jaipur Pink Panthers beat U Mumba (27-18),3
"Sunday, 31 January",Telugu Titans beat Puneri Paltan (27-26),3
"Monday, 01 February",Patna Pirates beat Jaipur Pink Panthers (29-28),3
"Monday, 01 February",Telugu Titans beat Dabang Delhi (45-34),3
"Tuesday, 02 February",Bengal Warriors beat Telugu Titans (25-17),3
"Wednesday, 03 February",Patna Pirates beat Bengaluru Bulls (33-24),3
"Wednesday, 03 February",Puneri Paltan beat Dabang Delhi (38-20),3
"Thursday, 04 February",Bengal Warriors beat Bengaluru Bulls (34-24),3
"Friday, 05 February",U Mumba beat Dabang Delhi (30-17),3
"Friday, 05 February",Bengaluru Bulls beat Jaipur Pink Panthers (36-26),3
"Saturday, 06 February",Patna Pirates beat U Mumba (40-26),3
"Saturday, 06 February",Telugu Titans beat Bengaluru Bulls (35-26),3
"Sunday, 07 February",Bengal Warriors beat Puneri Paltan (33-28),3
"Sunday, 07 February",Jaipur Pink Panthers beat Dabang Delhi (39-34),3
"Monday, 08 February",Patna Pirates beat Telugu Titans (29-25),3
"Monday, 08 February",Bengal Warriors beat Dabang Delhi (34-17),3
"Tuesday, 09 February",Patna Pirates beat Bengal Warriors (36-31),3
"Wednesday, 10 February",U Mumba beat Bengaluru Bulls (29-28),3
"Wednesday, 10 February",Bengal Warriors beat Jaipur Pink Panthers (34-20),3
"Thursday, 11 February",Match Tied,3
"Friday, 12 February",Patna Pirates beat Dabang Delhi (47-34),3
"Friday, 12 February",Match Tied,3
"Saturday, 13 February",Telugu Titans beat Jaipur Pink Panthers (27-25),3
"Saturday, 13 February",U Mumba beat Puneri Paltan (29-27),3
"Sunday, 14 February",U Mumba beat Bengal Warriors (32-21),3
"Sunday, 14 February",Puneri Paltan beat Bengaluru Bulls (29-27),3
"Tuesday, 16 February",Patna Pirates beat Bengal Warriors (32-27),3
"Tuesday, 16 February",Jaipur Pink Panthers beat Telugu Titans (35-26),3
"Wednesday, 17 February",Patna Pirates beat Bengaluru Bulls (36-32),3
"Thursday, 18 February",Dabang Delhi beat Bengaluru Bulls (35-21),3
"Thursday, 18 February",Match Tied,3
"Friday, 19 February",Bengal Warriors beat Telugu Titans (32-28),3
"Friday, 19 February",U Mumba beat Patna Pirates (34-28),3
"Saturday, 20 February",Jaipur Pink Panthers beat Bengaluru Bulls (30-21),3
"Saturday, 20 February",Puneri Paltan beat Dabang Delhi (32-22),3
"Sunday, 21 February",Telugu Titans beat Bengaluru Bulls (40-22),3
"Sunday, 21 February",Puneri Paltan beat Jaipur Pink Panthers (33-18),3
"Monday, 22 February",Bengal Warriors beat Jaipur Pink Panthers (34-18),3
"Tuesday, 23 February",U Mumba beat Bengal Warriors (30-17),3
"Tuesday, 23 February",Patna Pirates beat Jaipur Pink Panthers (47-24),3
"Wednesday, 24 February",Telugu Titans beat Dabang Delhi (44-36),3
