match_date,match_result,season
"Saturday, 13 October",U Mumba beat Haryana Steelers (53-26),6
"Sunday, 14 October",Patna Pirates beat U.P. Yoddha (43-37),6
"Sunday, 14 October",Puneri Paltan beat Haryana Steelers (45-27),6
"Tuesday, 16 October",Bengal Warriors beat Telugu Titans (30-25),6
"Tuesday, 16 October",Jaipur Pink Panthers beat Haryana Steelers (36-33),6
"Wednesday, 17 October",Bengaluru Bulls beat Tamil Thalaivas (44-35),6
"Wednesday, 17 October",U Mumba beat Haryana Steelers (42-32),6
"Thursday, 18 October",Haryana Steelers beat Dabang Delhi K.C. (34-31),6
"Thursday, 18 October",Gujarat Fortunegiants beat Puneri Paltan (34-28),6
"Friday, 19 October",Telugu Titans beat Patna Pirates (35-31),6
"Friday, 19 October",Puneri Paltan beat Jaipur Pink Panthers (29-25),6
"Saturday, 20 October",Match Tied,6
"Saturday, 20 October",Puneri Paltan beat U Mumba (33-32),6
"Sunday, 21 October",Dabang Delhi K.C. beat Bengal Warriors (39-30),6
"Sunday, 21 October",Puneri Paltan beat Bengaluru Bulls (27-25),6
"Tuesday, 23 October",U Mumba beat Telugu Titans (41-20),6
"Tuesday, 23 October",Tamil Thalaivas beat Puneri Paltan (36-31),6
"Wednesday, 24 October",Bengaluru Bulls beat Haryana Steelers (42-34),6
"Wednesday, 24 October",U.P. Yoddha beat Puneri Paltan (29-23),6
"Friday, 26 October",Patna Pirates beat Jaipur Pink Panthers (41-30),6
"Friday, 26 October",Gujarat Fortunegiants beat Tamil Thalaivas (36-25),6
"Saturday, 27 October",Bengal Warriors beat Jaipur Pink Panthers (39-28),6
"Saturday, 27 October",U Mumba beat Patna Pirates (40-39),6
"Sunday, 28 October",U.P. Yoddha beat Dabang Delhi K.C. (38-36),6
"Sunday, 28 October",Haryana Steelers beat Patna Pirates (43-32),6
"Tuesday, 30 October",Gujarat Fortunegiants beat Puneri Paltan (37-27),6
"Tuesday, 30 October",Telugu Titans beat Patna Pirates (53-32),6
"Wednesday, 31 October",Puneri Paltan beat Dabang Delhi K.C. (31-27),6
"Wednesday, 31 October",Bengaluru Bulls beat Patna Pirates (43-41),6
"Thursday, 01 November",Patna Pirates beat Bengal Warriors (29-27),6
"Friday, 02 November",Tamil Thalaivas beat U.P. Yoddha (46-24),6
"Friday, 02 November",Gujarat Fortunegiants beat Jaipur Pink Panthers (36-25),6
"Saturday, 03 November",U Mumba beat Puneri Paltan (31-22),6
"Saturday, 03 November",Bengaluru Bulls beat U.P. Yoddha (35-29),6
"Sunday, 04 November",Gujarat Fortunegiants beat Dabang Delhi K.C. (45-38),6
"Sunday, 04 November",Match Tied,6
"Tuesday, 06 November",Jaipur Pink Panthers beat Haryana Steelers (38-32),6
"Tuesday, 06 November",Match Tied,6
"Thursday, 08 November",Dabang Delhi K.C. beat Haryana Steelers (39-33),6
"Thursday, 08 November",Bengaluru Bulls beat U.P. Yoddha (37-27),6
"Friday, 09 November",U Mumba beat Jaipur Pink Panthers (48-24),6
"Friday, 09 November",Bengal Warriors beat Telugu Titans (30-25),6
"Saturday, 10 November",Patna Pirates beat Bengal Warriors (50-30),6
"Saturday, 10 November",Gujarat Fortunegiants beat U Mumba (38-36),6
"Sunday, 11 November",Dabang Delhi K.C. beat Jaipur Pink Panthers (40-29),6
"Sunday, 11 November",Haryana Steelers beat U Mumba (35-31),6
"Tuesday, 13 November",Telugu Titans beat Puneri Paltan (28-25),6
"Tuesday, 13 November",U Mumba beat U.P. Yoddha (41-24),6
"Wednesday, 14 November",Match Tied,6
"Wednesday, 14 November",U Mumba beat Bengaluru Bulls (32-29),6
"Thursday, 15 November",Patna Pirates beat Dabang Delhi K.C. (38-35),6
"Thursday, 15 November",U Mumba beat Tamil Thalaivas (36-22),6
"Friday, 16 November",Gujarat Fortunegiants beat Bengal Warriors (35-23),6
"Friday, 16 November",Jaipur Pink Panthers beat U.P. Yoddha (45-28),6
"Saturday, 17 November",Bengal Warriors beat Puneri Paltan (26-22),6
"Saturday, 17 November",Match Tied,6
"Sunday, 18 November",Bengaluru Bulls beat Jaipur Pink Panthers (45-32),6
"Sunday, 18 November",Gujarat Fortunegiants beat U.P. Yoddha (37-32),6
"Tuesday, 20 November",Tamil Thalaivas beat Telugu Titans (27-23),6
"Tuesday, 20 November",Dabang Delhi K.C. beat Gujarat Fortunegiants (29-26),6
"Wednesday, 21 November",Patna Pirates beat Tamil Thalaivas (45-27),6
"Wednesday, 21 November",Gujarat Fortunegiants beat U Mumba (39-35),6
"Thursday, 22 November",Gujarat Fortunegiants beat Haryana Steelers (40-31),6
"Friday, 23 November",Bengal Warriors beat Bengaluru Bulls (33-31),6
"Friday, 23 November",Match Tied,6
"Saturday, 24 November",U Mumba beat Dabang Delhi K.C. (39-23),6
"Saturday, 24 November",Bengaluru Bulls beat Tamil Thalaivas (36-22),6
"Sunday, 25 November",Haryana Steelers beat Dabang Delhi K.C. (34-27),6
"Sunday, 25 November",Patna Pirates beat Bengaluru Bulls (35-32),6
"Monday, 26 November",Tamil Thalaivas beat Telugu Titans (31-25),6
"Monday, 26 November",Bengaluru Bulls beat U.P. Yoddha (37-27),6
"Wednesday, 28 November",Puneri Paltan beat Haryana Steelers (35-33),6
"Wednesday, 28 November",Bengaluru Bulls beat Telugu Titans (34-26),6
"Thursday, 29 November",Gujarat Fortunegiants beat Puneri Paltan (35-20),6
"Thursday, 29 November",Bengal Warriors beat Bengaluru Bulls (44-37),6
"Friday, 30 November",Dabang Delhi K.C. beat Jaipur Pink Panthers (48-35),6
"Friday, 30 November",Match Tied,6
"Saturday, 01 December",U Mumba beat Dabang Delhi K.C. (41-34),6
"Sunday, 02 December",U Mumba beat Gujarat Fortunegiants (36-26),6
"Sunday, 02 December",Dabang Delhi K.C. beat Puneri Paltan (35-24),6
"Tuesday, 04 December",Gujarat Fortunegiants beat Patna Pirates (45-27),6
"Tuesday, 04 December",Dabang Delhi K.C. beat Telugu Titans (34-29),6
"Wednesday, 05 December",Haryana Steelers beat Bengal Warriors (35-33),6
"Wednesday, 05 December",Dabang Delhi K.C. beat Bengaluru Bulls (32-31),6
"Thursday, 06 December",U.P. Yoddha beat Haryana Steelers (30-29),6
"Thursday, 06 December",Dabang Delhi K.C. beat Tamil Thalaivas (37-33),6
"Friday, 07 December",Gujarat Fortunegiants beat Telugu Titans (29-27),6
"Friday, 07 December",Patna Pirates beat Puneri Paltan (53-36),6
"Saturday, 08 December",U Mumba beat Bengal Warriors (31-20),6
"Saturday, 08 December",Telugu Titans beat Jaipur Pink Panthers (36-26),6
"Sunday, 09 December",Jaipur Pink Panthers beat Tamil Thalaivas (37-24),6
"Sunday, 09 December",Telugu Titans beat Haryana Steelers (35-31),6
"Tuesday, 11 December",U Mumba beat Dabang Delhi K.C. (44-19),6
"Tuesday, 11 December",U.P. Yoddha beat Telugu Titans (27-20),6
"Wednesday, 12 December",Gujarat Fortunegiants beat Haryana Steelers (47-37),6
"Wednesday, 12 December",Bengaluru Bulls beat Telugu Titans (37-24),6
"Thursday, 13 December",Telugu Titans beat Patna Pirates (41-36),6
"Friday, 14 December",Jaipur Pink Panthers beat Puneri Paltan (36-23),6
"Friday, 14 December",Bengal Warriors beat Tamil Thalaivas (28-21),6
"Saturday, 15 December",Match Tied,6
"Saturday, 15 December",Match Tied,6
"Sunday, 16 December",U.P. Yoddha beat Patna Pirates (47-31),6
"Sunday, 16 December",Gujarat Fortunegiants beat Jaipur Pink Panthers (34-29),6
"Tuesday, 18 December",Bengaluru Bulls beat Telugu Titans (44-28),6
"Tuesday, 18 December",Jaipur Pink Panthers beat Haryana Steelers (39-30),6
"Wednesday, 19 December",Match Tied,6
"Wednesday, 19 December",Gujarat Fortunegiants beat Jaipur Pink Panthers (33-31),6
"Thursday, 20 December",Match Tied,6
"Friday, 21 December",Bengal Warriors beat Tamil Thalaivas (27-24),6
"Friday, 21 December",Puneri Paltan beat Telugu Titans (35-20),6
"Saturday, 22 December",U.P. Yoddha beat U Mumba (34-32),6
"Saturday, 22 December",Bengal Warriors beat Patna Pirates (39-23),6
"Sunday, 23 December",Dabang Delhi K.C. beat Bengal Warriors (37-31),6
"Tuesday, 25 December",Match Tied,6
"Tuesday, 25 December",Bengal Warriors beat Telugu Titans (39-34),6
"Wednesday, 26 December",Gujarat Fortunegiants beat Patna Pirates (37-29),6
"Wednesday, 26 December",Bengal Warriors beat Bengaluru Bulls (37-31),6
"Thursday, 27 December",Bengaluru Bulls beat Jaipur Pink Panthers (40-32),6
"Thursday, 27 December",U.P. Yoddha beat Bengal Warriors (41-25),6
"Sunday, 30 December",U.P. Yoddha beat U Mumba (34-29),6
"Sunday, 30 December",Dabang Delhi K.C. beat Bengal Warriors (39-28),6
"Monday, 31 December",Bengaluru Bulls beat Gujarat Fortunegiants (41-29),6
"Monday, 31 December",U.P. Yoddha beat Dabang Delhi K.C. (45-33),6
"Thursday, 03 January",Gujarat Fortunegiants beat U.P. Yoddha (38-31),6
"Saturday, 05 January",Bengaluru Bulls beat Gujarat Fortunegiants (38-33),6
"Sunday, 01 September",U.P. Yoddha Beat Bengal Warriors  (32-29 ),7
"Sunday, 01 September",Bengaluru Bulls Beat Tamil Thalaivas  (33-27 ),7
"Monday, 02 September",Haryana Steelers Beat Puneri Paltan  (41-27 ),7
"Monday, 02 September",Telugu Titans Beat Tamil Thalaivas  (35-30 ),7
"Wednesday, 04 September",Dabang Delhi K.C. Beat Jaipur Pink Panthers  (46-44 ),7
"Wednesday, 04 September",Bengaluru Bulls Beat Patna Pirates  (40-39 ),7
"Thursday, 05 September",Match Tied,7
"Friday, 06 September",U.P. Yoddha Beat Patna Pirates  (41-29 ),7
"Friday, 06 September",Bengaluru Bulls Beat Telugu Titans  (40-39 ),7
"Saturday, 07 September",Match Tied,7
"Saturday, 07 September",Haryana Steelers Beat Dabang Delhi K.C.  (47-25 ),7
"Sunday, 08 September",Dabang Delhi K.C. Beat Tamil Thalaivas  (50-34 ),7
"Sunday, 08 September",Bengal Warriors Beat Puneri Paltan  (42-39 ),7
"Monday, 09 September",U.P. Yoddha Beat Gujarat Fortunegiants  (33-26 ),7
"Monday, 09 September",Patna Pirates Beat Tamil Thalaivas  (51-25 ),7
"Tuesday, 10 September",U Mumba Beat Telugu Titans  (41-27 ),7
"Wednesday, 11 September",Match Tied,7
"Wednesday, 11 September",Bengal Warriors Beat U Mumba  (29-26 ),7
"Thursday, 12 September",Patna Pirates Beat Jaipur Pink Panthers  (36-33 ),7
"Thursday, 12 September",Bengal Warriors Beat Bengaluru Bulls  (42-40 ),7
"Saturday, 14 September",Puneri Paltan Beat Gujarat Fortunegiants  (43-33 ),7
"Saturday, 14 September",Haryana Steelers Beat Tamil Thalaivas  (43-35 ),7
"Sunday, 15 September",Dabang Delhi K.C. Beat Gujarat Fortunegiants  (34-30 ),7
"Sunday, 15 September",Patna Pirates Beat Puneri Paltan  (55-33 ),7
"Monday, 16 September",U.P. Yoddha Beat Jaipur Pink Panthers  (38-32 ),7
"Monday, 16 September",Dabang Delhi K.C. Beat Telugu Titans  (37-29 ),7
"Wednesday, 18 September",U Mumba Beat U.P. Yoddha  (39-36 ),7
"Wednesday, 18 September",Match Tied,7
"Thursday, 19 September",Bengal Warriors Beat Haryana Steelers  (48-36 ),7
"Friday, 20 September",Match Tied,7
"Friday, 20 September",Puneri Paltan Beat Bengaluru Bulls  (42-38 ),7
"Saturday, 21 September",Match Tied,7
"Saturday, 21 September",U.P. Yoddha Beat Tamil Thalaivas  (42-22 ),7
"Sunday, 22 September",U Mumba Beat Gujarat Fortunegiants  (31-25 ),7
"Sunday, 22 September",Bengal Warriors Beat Jaipur Pink Panthers  (41-40 ),7
"Monday, 23 September",Haryana Steelers Beat Patna Pirates  (39-34 ),7
"Monday, 23 September",Match Tied,7
"Wednesday, 25 September",Bengal Warriors Beat Telugu Titans  (40-39 ),7
"Wednesday, 25 September",Jaipur Pink Panthers Beat Puneri Paltan  (43-34 ),7
"Thursday, 26 September",Dabang Delhi K.C. Beat Patna Pirates  (43-39 ),7
"Friday, 27 September",Bengaluru Bulls Beat U Mumba  (35-33 ),7
"Friday, 27 September",Telugu Titans Beat Jaipur Pink Panthers  (51-31 ),7
"Saturday, 28 September",U.P. Yoddha Beat Haryana Steelers  (37-30 ),7
"Saturday, 28 September",Gujarat Fortunegiants Beat Tamil Thalaivas  (50-21 ),7
"Sunday, 29 September",Dabang Delhi K.C. Beat Puneri Paltan  (60-40 ),7
"Sunday, 29 September",Haryana Steelers Beat Gujarat Fortunegiants  (38-37 ),7
"Monday, 30 September",Bengal Warriors Beat Dabang Delhi K.C.  (42-33 ),7
"Monday, 30 September",U Mumba Beat Tamil Thalaivas  (36-32 ),7
