player_name,season,matches_played,team,tackle-points
Sombir,1,8,dabang-delhi-kc,1
Mohammad Taghi Paein Mahali,1,3,bengal-warriors,1
Naveen Narwal,1,3,bengal-warriors,1
Sumit,1,2,dabang-delhi-kc,1
Sushil Gulia,1,7,jaipur-pink-panthers,1
Aman,1,2,bengaluru-bulls,1
Aman Kadian,1,3,dabang-delhi-kc,1
Hemant Chauhan,1,3,tamil-thalaivas,1
Satywan,1,1,dabang-delhi-kc,1
Himanshu,1,3,tamil-thalaivas,1
Sachin Narwal,1,12,jaipur-pink-panthers,1
Sachin Tanwar,1,16,gujarat-fortunegiants,1
Ankush,1,3,up-yoddha,1
Ankit Beniwal,1,6,telugu-titans,1
Abhishek Singh,1,17,u-mumba,1
