player_name,season,matches_played,team,avg-raid
Rahul Chaudhari,1,14,telugu-titans,10.79
Anup Kumar,1,16,u-mumba,9.69
Wazir Singh,1,12,puneri-paltan,8.67
Nitin Madane,1,12,bengal-warriors,8.42
Ajay Thakur,1,15,bengaluru-bulls,8.13
Maninder Singh,1,16,jaipur-pink-panthers,8.13
Surjeet Narwal,1,14,dabang-delhi-kc,8.07
Kashiling Adake,1,14,dabang-delhi-kc,8.07
Rakesh Kumar,1,12,patna-pirates,7.33
Jasvir Singh,1,15,jaipur-pink-panthers,7.07
Ravi Dalal,1,16,patna-pirates,6.94
Shabeer Bappu,1,10,u-mumba,6.6
Deepak Niwas Hooda,1,14,telugu-titans,6.21
Sandeep Narwal,1,16,patna-pirates,5.75
Sukesh Hegde,1,14,telugu-titans,5.64
Jang Kun Lee,1,11,bengal-warriors,5
Mahipal Narwal,1,5,puneri-paltan,4.8
Rajesh Narwal,1,16,jaipur-pink-panthers,4.5
Manjeet Chhillar,1,16,bengaluru-bulls,4.44
Pawan Kumar Kadian,1,10,u-mumba,4.3
Rishank Devadiga,1,16,u-mumba,4
Mahesh Goud,1,13,bengal-warriors,3.92
Mangesh Bhagat,1,8,puneri-paltan,3.38
Pravin Niwale,1,7,puneri-paltan,3.33
Simon Kibura,1,4,puneri-paltan,3
Shrikant Tewthia,1,14,dabang-delhi-kc,2.93
Jitesh Joshi,1,14,puneri-paltan,2.86
Deepak Kumar Dahiya,1,7,bengaluru-bulls,2.71
Mahendra Ganesh Rajput,1,8,bengal-warriors,2.63
Rajesh Mondal,1,15,bengaluru-bulls,2.6
Sunil Jaipal,1,13,bengal-warriors,2.54
Waleed Al Hasani,1,6,puneri-paltan,2.33
Suresu Kumar,1,3,u-mumba,2
Manoj Kumar,1,14,puneri-paltan,1.83
Gurvinder Singh,1,7,patna-pirates,1.8
Nilesh Shinde,1,14,bengal-warriors,1.75
Gangadhari Mallesh,1,10,jaipur-pink-panthers,1.63
Ran Singh,1,10,jaipur-pink-panthers,1.38
Surender Nada,1,15,u-mumba,1.25
Shyam Kumar Sah,1,13,bengal-warriors,1.25
Balbir Singh,1,8,jaipur-pink-panthers,1.13
Dharmaraj Cheralathan,1,16,bengaluru-bulls,1.08
Parmod Narwal,1,16,bengaluru-bulls,1.08
Kalimuthu Balamahendran,1,14,puneri-paltan,1
Chandran Ranjit,1,6,telugu-titans,1
Sachin Khambe,1,14,bengal-warriors,1
Mandeep Kumar,1,7,patna-pirates,1
Preetam Chhillar,1,11,bengaluru-bulls,0.83
Jasmer Singh Gulia,1,14,dabang-delhi-kc,0.78
Punit Kumar Teotia,1,4,dabang-delhi-kc,0.75
Ram Kumar Sah,1,9,patna-pirates,0.75
Prashanth Kumar Rai,1,7,telugu-titans,0.71
Tae Deok Eom,1,9,patna-pirates,0.67
Ehsan Zamani Fard,1,8,dabang-delhi-kc,0.5
D. Gopu,1,15,telugu-titans,0.5
Girish Maruti Ernak,1,12,patna-pirates,0.33
Gurchet Singh,1,4,bengaluru-bulls,0.25
Samarjeet Singh,1,12,jaipur-pink-panthers,0.2
