team_name,Season,matches_played,super-tackles
Jaipur Pink Panthers,3,14,16
Telugu Titans,3,14,15
Puneri Paltan,3,16,13
Bengal Warriors,3,16,13
Dabang Delhi K.C.,3,14,13
Bengaluru Bulls,3,14,7
Patna Pirates,3,16,7
U Mumba,3,16,6
