team_name,Season,matches_played,tackle-points
U Mumba,0,126,1317
Patna Pirates,0,131,1303
Puneri Paltan,0,126,1276
Jaipur Pink Panthers,0,124,1179
Telugu Titans,0,122,1176
Bengaluru Bulls,0,125,1172
Bengal Warriors,0,125,1118
Dabang Delhi K.C.,0,122,1087
Gujarat Fortunegiants,0,69,731
U.P. Yoddha,0,66,658
Haryana Steelers,0,64,615
Tamil Thalaivas,0,64,561
