team_name,Season,matches_played,avg-tackle
U Mumba,6,23,12.57
Gujarat Fortunegiants,6,25,10.96
U.P. Yoddha,6,25,10.6
Telugu Titans,6,22,10.59
Jaipur Pink Panthers,6,22,10.23
Puneri Paltan,6,22,9.95
Bengaluru Bulls,6,24,9.58
Patna Pirates,6,22,9.14
Dabang Delhi K.C.,6,24,9
Haryana Steelers,6,22,8.77
Bengal Warriors,6,23,8.7
Tamil Thalaivas,6,22,8.59
