player_name,season,matches_played,team,successful-tackles
Surender Nada,1,21,haryana-steelers,74
PO Surjeet Singh,1,24,bengal-warriors,72
Vishal Bhardwaj,1,22,telugu-titans,68
Jaideep,1,26,patna-pirates,66
Abozar Mohajermighani,1,24,gujarat-fortunegiants,63
Girish Maruti Ernak,1,21,puneri-paltan,61
Surender Singh,1,22,u-mumba,58
Sunil Kumar,1,24,gujarat-fortunegiants,55
Amit Hooda,1,22,tamil-thalaivas,55
Fazel Atrachali,1,24,gujarat-fortunegiants,54
Mahender Singh,1,22,bengaluru-bulls,52
Ravinder Pahal,1,19,bengaluru-bulls,49
Sandeep Narwal,1,21,puneri-paltan,49
Ran Singh,1,23,bengal-warriors,49
Manjeet Chhillar,1,15,jaipur-pink-panthers,46
Nitesh Kumar,1,19,up-yoddha,46
Parvesh Bhainswal,1,24,gujarat-fortunegiants,44
Darshan J.,1,20,tamil-thalaivas,39
Jeeva Kumar,1,22,up-yoddha,37
Vishal Mane,1,26,patna-pirates,36
Mohit Chhillar,1,20,haryana-steelers,35
Vijay,1,19,patna-pirates,34
Sombir,1,17,telugu-titans,33
Shrikant Tewthia,1,23,bengal-warriors,31
Kuldeep Singh,1,16,bengaluru-bulls,30
C. Arun,1,20,tamil-thalaivas,30
Somvir Shekhar,1,22,jaipur-pink-panthers,29
Sagar B Krishna,1,17,up-yoddha,29
Monu,1,19,puneri-paltan,29
Ravi Kumar,1,23,puneri-paltan,28
Jawahar Dagar,1,18,patna-pirates,26
Kuldeep Singh,1,20,u-mumba,25
Sunil,1,18,dabang-delhi-kc,24
Rohit Rana,1,21,telugu-titans,24
Dharmaraj Cheralathan,1,18,puneri-paltan,24
Vikash,1,19,haryana-steelers,24
Sidharth,1,21,jaipur-pink-panthers,24
Rakesh Singh Kumar,1,19,haryana-steelers,23
Farhad Rahimi Milaghardan,1,18,telugu-titans,22
Satpal,1,10,dabang-delhi-kc,22
Sachin Shingade,1,26,patna-pirates,21
Anup Kumar,1,21,u-mumba,19
Nilesh Shinde,1,15,dabang-delhi-kc,19
D. Pradap,1,16,tamil-thalaivas,19
Nitin Rawal,1,21,jaipur-pink-panthers,19
Ziaur Rahman,1,16,puneri-paltan,18
Manish,1,23,patna-pirates,17
Hadi Oshtorak,1,16,u-mumba,17
Rinku Narwal,1,13,puneri-paltan,17
Viraj Vishnu Landge,1,19,dabang-delhi-kc,16
Pankaj,1,13,up-yoddha,16
Santhapanaselvam,1,10,jaipur-pink-panthers,15
Sunil Siddhgavali,1,12,jaipur-pink-panthers,15
Rajesh Narwal,1,16,up-yoddha,15
Rakesh Kumar,1,10,telugu-titans,15
Ashish Kumar,1,20,bengaluru-bulls,14
Swapnil Dilip Shinde,1,13,dabang-delhi-kc,13
Deepak Niwas Hooda,1,24,puneri-paltan,13
Sachin,1,24,gujarat-fortunegiants,13
Vineet Sharma,1,18,tamil-thalaivas,13
Neeraj Kumar,1,17,haryana-steelers,12
Sunil Jaipal,1,13,bengaluru-bulls,12
Wazir Singh,1,21,haryana-steelers,11
Bajirao Hodage,1,12,dabang-delhi-kc,11
Rohit Kumar,1,22,bengaluru-bulls,11
Monu Goyat,1,26,patna-pirates,10
Akshay Jadhav,1,10,puneri-paltan,10
N. Renjith,1,11,u-mumba,10
Yatharth Deshwal,1,6,dabang-delhi-kc,10
Shrikant Jadhav,1,19,u-mumba,10
Ajay Thakur,1,22,tamil-thalaivas,9
Rahul Chaudhari,1,22,telugu-titans,9
Joginder Singh Narwal,1,8,u-mumba,9
Vinod Kumar,1,21,patna-pirates,9
Tapas Pal,1,5,dabang-delhi-kc,9
Nitin Tomar,1,20,up-yoddha,9
Rohit Baliyan,1,17,dabang-delhi-kc,9
Vinod Kumar,1,19,bengal-warriors,8
Meraj Sheykh,1,20,dabang-delhi-kc,8
Santhosh B.S,1,9,up-yoddha,8
Kashiling Adake,1,20,u-mumba,7
Gurvinder Singh,1,9,bengaluru-bulls,7
Deepak Yadav,1,4,u-mumba,7
Kuldeep Singh,1,5,haryana-steelers,6
Vishal,1,5,dabang-delhi-kc,6
Rahul Kumar,1,10,bengal-warriors,6
Manoj Dhull,1,9,jaipur-pink-panthers,6
Sachin Kumar,1,9,bengaluru-bulls,6
D. Suresh Kumar,1,5,u-mumba,6
Mahendra Ganesh Rajput,1,17,gujarat-fortunegiants,5
Nilesh Salunke,1,21,telugu-titans,5
Abolfazl Maghsodloumahali,1,19,dabang-delhi-kc,5
Hadi Tajik,1,9,up-yoddha,5
Mohsen Maghsoudloujafari,1,16,telugu-titans,5
Vikash,1,4,bengal-warriors,5
Gurvinder Singh,1,5,up-yoddha,5
Vikas Kumar,1,14,telugu-titans,4
Darshan Kadian,1,16,u-mumba,4
Sanket Chavan,1,7,tamil-thalaivas,4
Preetam Chhillar,1,16,bengaluru-bulls,4
Mahesh Goud,1,21,up-yoddha,4
