team_name,Season,matches_played,avg-raid
Patna Pirates,3,16,20.25
Telugu Titans,3,14,18.14
Dabang Delhi K.C.,3,14,16.64
U Mumba,3,16,15.81
Puneri Paltan,3,16,15.69
Bengal Warriors,3,16,15.63
Bengaluru Bulls,3,14,14.93
Jaipur Pink Panthers,3,14,13.79
