player_name,season,matches_played,team,do-or
Deepak Niwas Hooda,1,24,puneri-paltan,47
Monu Goyat,1,26,patna-pirates,45
Rajesh Mondal,1,24,puneri-paltan,40
Ajay Kumar,1,22,bengaluru-bulls,39
Deepak Kumar Dahiya,1,16,haryana-steelers,38
Sachin,1,24,gujarat-fortunegiants,37
Rohit Kumar,1,22,bengaluru-bulls,36
K. Prapanjan,1,22,tamil-thalaivas,34
Rishank Devadiga,1,21,up-yoddha,32
Meraj Sheykh,1,20,dabang-delhi-kc,31
Ajay Thakur,1,22,tamil-thalaivas,30
Pardeep Narwal,1,26,patna-pirates,29
Rahul Chaudhari,1,22,telugu-titans,28
Kashiling Adake,1,20,u-mumba,27
Pawan Kumar Kadian,1,21,jaipur-pink-panthers,27
Wazir Singh,1,21,haryana-steelers,27
Abolfazl Maghsodloumahali,1,19,dabang-delhi-kc,26
Deepak Narwal,1,16,bengal-warriors,25
Nitin Tomar,1,20,up-yoddha,23
Nilesh Salunke,1,21,telugu-titans,22
Maninder Singh,1,21,bengal-warriors,22
Shrikant Jadhav,1,19,u-mumba,22
Mohsen Maghsoudloujafari,1,16,telugu-titans,21
Nitin Rawal,1,21,jaipur-pink-panthers,21
Surender Singh,1,18,up-yoddha,19
Vinod Kumar,1,19,bengal-warriors,18
Sukesh Hegde,1,18,gujarat-fortunegiants,17
Vikash Khandola,1,9,haryana-steelers,16
R. Sriram,1,11,dabang-delhi-kc,16
Mahendra Ganesh Rajput,1,17,gujarat-fortunegiants,15
Jasvir Singh,1,15,jaipur-pink-panthers,14
Chandran Ranjit,1,11,gujarat-fortunegiants,13
Prashanth Kumar Rai,1,16,haryana-steelers,13
Dong Geon Lee,1,17,tamil-thalaivas,13
Tushar Patil,1,17,jaipur-pink-panthers,13
Vinod Kumar,1,21,patna-pirates,13
Rohit Gulia,1,19,gujarat-fortunegiants,12
Darshan Kadian,1,16,u-mumba,10
Shabeer Bappu,1,12,u-mumba,9
Suresh Kumar,1,11,puneri-paltan,9
Vikas Kumar,1,14,telugu-titans,9
More GB,1,6,puneri-paltan,8
M. Thivakaran,1,9,tamil-thalaivas,8
Mahesh Goud,1,21,up-yoddha,8
Jang Kun Lee,1,21,bengal-warriors,8
Rohit Baliyan,1,17,dabang-delhi-kc,8
Ajit Singh,1,11,jaipur-pink-panthers,7
Anand Patil,1,19,dabang-delhi-kc,7
Bhupender Singh,1,17,bengal-warriors,7
Harish Naik,1,14,bengaluru-bulls,6
Monu,1,19,puneri-paltan,6
Vijay,1,19,patna-pirates,6
Mayur Shivtarkar,1,5,haryana-steelers,5
Virender Wazir Singh,1,3,bengal-warriors,5
Anup Kumar,1,21,u-mumba,5
Gurvinder Singh,1,9,bengaluru-bulls,5
CPO Surjeet Singh,1,17,haryana-steelers,4
Ashish Kumar,1,20,bengaluru-bulls,4
Akshay Jadhav,1,10,puneri-paltan,4
Elangeshwaran R,1,5,telugu-titans,4
Pawan Kumar Sehrawat,1,9,gujarat-fortunegiants,3
Vineet Sharma,1,18,tamil-thalaivas,3
Nitin Madane,1,12,u-mumba,3
Vinoth Kumar,1,4,telugu-titans,2
Sunil Jaipal,1,13,bengaluru-bulls,2
Sandeep Narwal,1,21,puneri-paltan,2
Shubham Ashok Palkar,1,8,dabang-delhi-kc,2
Ravindra Ramesh Kumawat,1,2,bengal-warriors,2
Jawahar Dagar,1,18,patna-pirates,1
Farhad Rahimi Milaghardan,1,18,telugu-titans,1
Yong Joo Ok,1,1,u-mumba,1
Bhavani Rajput,1,4,tamil-thalaivas,1
Umesh Mhatre,1,5,puneri-paltan,1
Deepak Kumar Rathee,1,6,haryana-steelers,1
Rohit Kumar Choudary,1,11,puneri-paltan,1
Hadi Tajik,1,9,up-yoddha,1
Vikas Jaglan,1,13,patna-pirates,1
Girish Maruti Ernak,1,21,puneri-paltan,1
Rakesh Narwal,1,6,gujarat-fortunegiants,1
Ashish Chhokar,1,5,haryana-steelers,1
Nilesh Shinde,1,15,dabang-delhi-kc,1
Ravi Dalal,1,5,dabang-delhi-kc,1
Mohan Raman G,1,4,u-mumba,1
Rohit,1,2,bengaluru-bulls,1
Vishal,1,5,dabang-delhi-kc,1
Rahul Choudhary,1,5,jaipur-pink-panthers,1
Rakshith,1,6,telugu-titans,1
Satpal,1,10,dabang-delhi-kc,1
